RMSE,MAE,R2,Accuracy@10%,Accuracy@20%,Mean Percentage Error,MAPE,run,boosted_meta_weight,neural_meta_weight
2204608.8528230325,953711.0077419664,0.9584443293114705,29.919354838709676,57.41935483870968,5.042826528513935,21.977302348214355,1,0.9944551595217475,0.005544840478252536
2173477.5499589206,852619.1566567146,0.9507363424770099,30.806451612903224,56.774193548387096,2.596426986354764,21.81511740185571,2,0.9795818554946099,0.02041814450539016
2003034.8044850072,840647.1945104888,0.9417631909518563,30.241935483870968,55.64516129032258,3.991747487149159,22.3438797874894,3,0.9932014406662166,0.006798559333783334
2749699.5811532154,1121094.6681807975,0.92957928058151,29.193548387096772,52.016129032258064,0.6067210447736586,24.301555322403733,4,0.8508451355715861,0.14915486442841394
2564725.724476961,932650.1120724515,0.9281116944137282,29.516129032258064,57.822580645161295,3.174003213415117,22.029581435024504,5,0.9551960373507214,0.044803962649278495
3155445.703081238,1082581.9400123314,0.9445603278777844,32.17741935483871,55.725806451612904,6.996106967446682,22.44288394756181,6,0.9877528942767058,0.012247105723294257
2251985.79986093,956264.7691510125,0.9618060486494122,31.774193548387096,58.387096774193544,5.722878538006196,22.11049797474579,7,0.9988762121500486,0.0011237878499514087
2784334.148848629,1093879.0922606068,0.9439571371118209,32.016129032258064,54.516129032258064,0.4749773356633179,21.881322928567243,8,0.899846819924067,0.100153180075933
2825837.464621013,904883.7984944555,0.940475445571072,33.5483870967742,57.90322580645161,5.527368813308071,21.934914542353816,9,0.9994769751162962,0.0005230248837037823
4048158.8241254827,1202409.4973935967,0.9104126879814523,28.62903225806452,51.693548387096776,-1.3138783426453833,22.917872421928635,10,0.8806280244649183,0.11937197553508172
2596473.706706689,1025792.785722814,0.938567153095292,32.41935483870968,57.25806451612904,2.9689397218485714,21.82172551458156,11,0.9697063603794848,0.03029363962051522
2486576.2752151424,991957.8003618909,0.952213093379078,31.61290322580645,58.30645161290322,4.648323386769393,22.088080767769654,12,0.9987304837407452,0.0012695162592546853
3104405.0007230774,1039353.9824746655,0.9440231155614601,32.74193548387097,56.612903225806456,2.948946354870999,21.46835746310726,13,0.9789921647628949,0.021007835237105234
1906870.7081334752,865426.8228364176,0.955655952390125,31.370967741935484,57.25806451612904,3.3705676142111876,21.494520785500608,14,0.9919101821173067,0.008089817882693265
3584081.5581497042,1208012.1561220323,0.8903125703608281,26.370967741935488,51.20967741935484,-0.330232131693252,23.980885070294853,15,0.8604235334962603,0.1395764665037397
