iter	Passed	Remaining
403	9203	6743
404	9225	6719
405	9247	6696
406	9268	6672
407	9288	6647
408	9316	6628
409	9341	6607
410	9362	6583
411	9381	6557
412	9402	6533
413	9422	6509
414	9447	6487
415	9467	6463
416	9572	6496
417	9608	6482
418	9629	6457
419	9668	6445
420	9691	6422
421	9717	6401
422	9739	6378
423	9761	6354
424	9785	6331
425	9807	6308
426	9827	6283
427	9848	6258
428	9871	6235
429	9893	6211
430	9918	6190
431	9940	6166
432	9964	6144
433	9986	6120
434	10009	6097
435	10030	6073
436	10053	6050
437	10074	6026
438	10097	6003
439	10121	5980
440	10143	5957
441	10165	5933
442	10188	5910
443	10210	5886
444	10231	5863
445	10254	5840
446	10276	5816
447	10297	5792
448	10319	5768
449	10340	5744
450	10362	5721
451	10387	5699
452	10410	5676
453	10432	5652
454	10453	5628
455	10474	5604
456	10498	5582
457	10519	5558
458	10542	5535
459	10560	5510
460	10583	5487
461	10605	5463
462	10626	5439
463	10648	5416
464	10671	5393
465	10693	5369
466	10715	5346
467	10737	5322
468	10758	5299
469	10780	5275
470	10801	5251
471	10821	5227
472	10844	5204
473	10865	5180
474	10886	5156
475	10909	5133
476	10932	5110
477	10954	5087
478	10976	5064
479	10998	5040
480	11016	5015
481	11079	5011
482	11123	4997
483	11158	4979
484	11189	4960
485	11240	4949
486	11282	4934
487	11320	4917
488	11349	4897
489	11370	4873
490	11394	4850
491	11415	4826
492	11437	4802
493	11460	4778
494	11481	4754
495	11500	4729
496	11520	4705
497	11539	4680
498	11559	4656
499	11580	4632
500	11603	4608
501	11624	4584
502	11644	4560
503	11666	4537
504	11688	4513
505	11710	4489
506	11731	4465
507	11756	4443
508	11777	4419
509	11800	4396
510	11820	4372
511	11843	4348
512	11863	4324
513	11884	4300
514	11907	4277
515	11929	4253
516	11953	4231
517	11974	4207
518	11996	4183
519	12016	4159
520	12038	4135
521	12060	4112
522	12082	4089
523	12104	4065
524	12126	4042
525	12148	4018
526	12172	3996
527	12194	3972
528	12216	3948
529	12238	3925
530	12260	3902
531	12282	3878
532	12306	3855
533	12328	3832
534	12349	3808
535	12370	3784
536	12392	3761
537	12413	3737
538	12436	3714
539	12458	3691
540	12480	3667
541	12501	3644
542	12522	3620
543	12544	3597
544	12569	3574
545	12590	3551
546	12613	3528
547	12634	3504
548	12656	3481
549	12677	3457
550	12698	3433
551	12719	3410
552	12743	3387
553	12764	3363
554	12787	3340
555	12809	3317
556	12830	3294
557	12853	3270
558	12875	3247
559	12898	3224
560	12919	3200
561	12940	3177
562	12961	3154
563	12984	3131
564	13006	3107
565	13028	3084
566	13049	3061
567	13071	3037
568	13092	3014
569	13114	2990
570	13135	2967
571	13157	2944
572	13179	2921
573	13201	2897
574	13223	2874
575	13244	2851
576	13267	2828
577	13288	2804
578	13311	2781
579	13332	2758
580	13352	2734
581	13379	2712
582	13398	2688
583	13417	2665
584	13438	2641
585	13460	2618
586	13482	2595
587	13503	2572
588	13522	2548
589	13544	2525
590	13565	2501
591	13586	2478
592	13604	2454
593	13628	2432
594	13650	2408
595	13671	2385
596	13691	2362
597	13712	2338
598	13735	2316
599	13756	2292
600	13780	2270
601	13802	2246
602	13823	2223
603	13845	2200
604	13868	2177
605	13890	2154
606	13911	2131
607	13933	2108
608	13955	2085
609	13978	2062
610	13998	2038
611	14019	2015
612	14039	1992
613	14061	1969
614	14083	1946
615	14105	1923
616	14127	1900
617	14148	1877
618	14171	1854
619	14194	1831
620	14215	1808
621	14237	1785
622	14259	1762
623	14280	1739
624	14302	1716
625	14321	1692
626	14341	1669
627	14363	1646
628	14385	1623
629	14408	1600
630	14428	1577
631	14451	1554
632	14474	1532
633	14496	1509
634	14516	1485
635	14535	1462
636	14556	1439
637	14578	1416
638	14602	1394
639	14627	1371
640	14649	1348
641	14671	1325
642	14693	1302
643	14715	1279
644	14737	1256
645	14759	1233
646	14780	1210
647	14803	1187
648	14825	1164
649	14847	1142
650	14871	1119
651	14894	1096
652	14919	1073
653	14943	1051
654	14966	1028
655	14990	1005
656	15022	983
657	15046	960
658	15070	937
659	15094	914
660	15117	891
661	15141	869
662	15166	846
663	15189	823
664	15213	800
665	15237	777
666	15260	755
667	15286	732
668	15310	709
669	15335	686
670	15357	663
671	15380	640
672	15403	617
673	15433	595
674	15458	572
675	15481	549
676	15501	526
677	15524	503
678	15548	480
679	15575	458
680	15599	435
681	15623	412
682	15648	389
683	15671	366
684	15694	343
685	15717	320
686	15740	297
687	15765	274
688	15789	252
689	15810	229
690	15836	206
691	15856	183
692	15879	160
693	15901	137
694	15924	114
695	15945	91
696	15967	68
697	15991	45
698	16013	22
699	16035	0
