iter	RMSE
478	0.8645309411
479	0.8642738468
480	0.8639981141
481	0.8637093558
482	0.8634490193
483	0.863220974
484	0.8630731606
485	0.8627106975
486	0.8625515471
487	0.8623002315
488	0.8620548478
489	0.86183514
490	0.8616947689
491	0.8614334418
492	0.8611877991
493	0.8608929361
494	0.8606573027
495	0.8604100739
496	0.8601921059
497	0.8600553497
498	0.8597660615
499	0.8595416933
500	0.8593076612
501	0.8590802523
502	0.8588276296
503	0.8585424059
504	0.8582931492
505	0.8580005528
506	0.857773771
507	0.8575209043
508	0.8572635524
509	0.8570197774
510	0.8567883034
511	0.8565600663
512	0.8563293731
513	0.8561581157
514	0.8559265
515	0.8556084005
516	0.8554049784
517	0.8552019805
518	0.8550661614
519	0.8548257984
520	0.8546042575
521	0.8544804215
522	0.8541726794
523	0.8539623587
524	0.8537452412
525	0.8536347883
526	0.8533904525
527	0.8531673507
528	0.8529157829
529	0.852777242
530	0.8525465007
531	0.8523284488
532	0.8521081712
533	0.8519127752
534	0.8515924896
535	0.8513789795
536	0.851072963
537	0.8508529672
538	0.850636636
539	0.8503769464
540	0.8501068573
541	0.8498460441
542	0.8495660381
543	0.8493013493
544	0.8490864455
545	0.8488852722
546	0.848668888
547	0.8484370145
548	0.8482242782
549	0.848020249
550	0.8478146986
551	0.8476668869
552	0.8474238107
553	0.8471961601
554	0.8469392797
555	0.8467487861
556	0.8465083434
557	0.846263797
558	0.8460349614
559	0.8458333235
560	0.8456933196
561	0.8454880528
562	0.8452417011
563	0.8450390201
564	0.8448101365
565	0.8445376143
566	0.8444290624
567	0.8441716007
568	0.8439659271
569	0.8437552729
570	0.8435640403
571	0.8433606447
572	0.8431387212
573	0.8429275667
574	0.8427088014
575	0.8425107585
576	0.8423051375
577	0.841981394
578	0.84176224
579	0.8415275819
580	0.8413278943
581	0.841135219
582	0.8409097577
583	0.8408123852
584	0.8406554805
585	0.8403927589
586	0.8401556608
587	0.83995996
588	0.8398570665
589	0.8396535595
590	0.8394287032
591	0.8393005655
592	0.8391075509
593	0.8388954106
594	0.8386527685
595	0.8384561371
596	0.838344763
597	0.8380935953
598	0.8378886041
599	0.8377040722
600	0.8374861866
601	0.8373402687
602	0.837126127
603	0.8369496811
604	0.8367284224
605	0.8365523879
606	0.8363325802
607	0.8361277562
608	0.8359304039
609	0.8357057666
610	0.8356402898
611	0.8354762644
612	0.8352350591
613	0.8350037608
614	0.8347833429
615	0.8346754972
616	0.8344716528
617	0.8342673856
618	0.8340707725
619	0.8338609418
620	0.833623252
621	0.8334327025
622	0.833123055
623	0.8330000734
624	0.8327884096
625	0.8325923756
626	0.8324382164
627	0.8322723916
628	0.8320878277
629	0.8318793788
630	0.831805993
631	0.8315955103
632	0.8314047099
633	0.8313263409
634	0.8311575942
635	0.8309597256
636	0.8307048231
637	0.8304711306
638	0.8302967184
639	0.8300739225
640	0.8298950428
641	0.8297113951
642	0.8295855225
643	0.829410838
644	0.8292328348
645	0.8290451088
646	0.828764808
647	0.8285477708
648	0.8283548715
649	0.8281336802
650	0.8279128302
651	0.8276935982
652	0.8275082184
653	0.8272823139
654	0.8270865726
655	0.8268911293
656	0.8267835936
657	0.8265847567
658	0.8263716136
659	0.8261937182
660	0.826020654
661	0.8257986897
662	0.8256268478
663	0.8254572864
664	0.8253856203
665	0.8252020625
666	0.8249983414
667	0.8247690925
668	0.8245440922
669	0.8243589283
670	0.8241530916
671	0.8238847992
672	0.8237005695
673	0.823622332
674	0.8234566787
675	0.8232204767
676	0.8230164934
677	0.822955356
678	0.8228790423
679	0.8227169095
680	0.822543714
681	0.8223574622
682	0.82215854
683	0.8219921476
684	0.8218313658
685	0.8216447541
686	0.8213619504
687	0.8211448139
688	0.8209468841
689	0.8207247995
690	0.820474236
691	0.8203282161
692	0.8201300156
693	0.8199083183
694	0.8198026096
695	0.8197234941
696	0.8195483338
697	0.8194886236
698	0.8193346574
699	0.8192764056
