index,feature,mean_abs_shap_mean,mean_abs_shap_std
278,ea_pred,0.8237505659420055,0.03184570716317502
697,pred_mean,0.06587433601192912,0.018848811191657485
696,pred_max,0.041473784483301065,0.004357581658677029
695,potential,0.034783906390215495,0.00537931743400696
719,wage_per_rating,0.02808799319281981,0.005101089841083062
286,overall_rating,0.027531374882882816,0.005065541961473353
57,age_ea,0.026307571699375476,0.0026459104635005682
699,pred_min,0.021242932011033413,0.005791171683042194
702,pred_weighted,0.020950016109474737,0.0073556805808184635
55,age_at_valuation,0.01969418590764104,0.002492138933921393
698,pred_median,0.018968271361279054,0.0031020072511399716
53,abs_years_from_27,0.018107851924828333,0.002234694128035836
718,wage,0.017681279934780463,0.0037753320590106962
717,tm_pred,0.013316659556932156,0.002415104042793804
282,goal_contrib_per90,0.012633494752049178,0.0017061043418875454
280,fb_pred,0.0073067480099909266,0.0020085427738870607
0,90s,0.0069790032319856764,0.0016319540500075505
277,ea_fb_absdiff,0.006859610061769969,0.0016801394992333974
38,Int_per_90,0.006160908447742604,0.0012418898578416698
281,fb_tm_absdiff,0.005937784031475985,0.001263935864048746
12,Comp_eng_Championship,0.005784525898739126,0.0006618182775352697
102,contract_years_left,0.005414710648442721,0.0012139357392218538
279,ea_tm_absdiff,0.005310632467594011,0.001223118974516422
59,bmi_like,0.004563731385490351,0.0006498582349104636
39,Min,0.004479710982577355,0.0012006664392891914
103,contract_years_left_ea,0.004102595602295716,0.0007925448738771006
701,pred_std,0.0038308156232159745,0.0009450823641487347
51,Sh_per_90,0.0036145668827092027,0.0012546582664897312
96,club_league_name_Serie_B,0.0035575260741971928,0.0008331867372996291
84,club_league_name_Major_League_Soccer,0.0034937292141077134,0.0005108887045766104
700,pred_range,0.0034235252966467625,0.001099622349834188
134,country_name_nan,0.003367210833622414,0.0010475539337478142
104,contract_years_left_from_date,0.0033265603653416594,0.001156581200916936
284,height_cm,0.00302583945774969,0.0006006262489476479
58,age_ea_sq,0.0029647985139215783,0.0007380591775236224
720,weight_kg,0.0026424943097558534,0.0005519500530222102
56,age_at_valuation_sq,0.002314948542459499,0.00046125059680805135
52,SoT_per_90,0.002260852411569914,0.0009117718299705642
233,country_of_citizenship_Norway,0.0019474176077856188,0.0004544656000674177
704,sub_position_Central_Midfield,0.0019250263782475438,0.0009329168748613343
18,Comp_fr_Ligue_1,0.0019162258649571295,0.0007136286953716898
15,Comp_eng_Premier_League,0.0019046346499216877,0.0010275031739913805
37,Gls_per_90,0.0018421711021016196,0.000962538624755746
203,country_of_citizenship_Italy,0.001424350763141565,0.000864806312871521
289,position_group_GK,0.0014162205062619197,0.000779287920091242
367,positions_CDM_CM,0.001305099698361341,0.0007013015085297899
82,club_league_name_Ligue_1,0.0012844274601577256,0.0005285731115758978
287,position_group_DEF,0.001158675002312488,0.0008580852646448344
238,country_of_citizenship_Poland,0.0011474859995160615,0.0005266377026687406
48,Pos_MFDF,0.0011230792527272486,0.0006699622804959059
34,Comp_sa_Saudi_Pro_League,0.0010616976813252613,0.00047540802041873
226,country_of_citizenship_Netherlands,0.0010429107307597905,0.0008189567228444198
177,country_of_citizenship_England,0.0010398665749246614,0.0006883153467574094
230,country_of_citizenship_Nigeria,0.001004958140310162,0.000551968602029486
71,club_league_name_Eredivisie,0.0009732068492301783,0.0003259453422423378
19,Comp_fr_Ligue_2,0.0009263418604168951,0.00040520220094685964
