metric,mean,std,min,max
RMSE,2689729.1074971827,598463.854083155,1906870.708133474,4048158.824125478
MAE,1004180.6892690447,120123.74525261656,840647.1945104889,1208012.1561220323
R2,0.9396518545174988,0.01905299724587692,0.8903125703608283,0.9618060486494122
Accuracy@10%,30.779569892473123,1.8766664629155763,26.370967741935488,33.5483870967742
Accuracy@20%,55.89784946236559,2.4437834799432547,51.20967741935484,58.387096774193544
Mean Percentage Error,3.0835853096963985,2.3881450014851504,-1.3138783426453353,6.996106967446686
MAPE,22.300304225536145,0.8331626960489789,21.468357463107218,24.301555322403694
boosted_meta_weight,0.9557201648507451,0.05401589758277878,0.8508451355715864,0.9994769751162962
neural_meta_weight,0.04427983514925494,0.05401589758277876,0.0005230248837037808,0.1491548644284136
