experiment_id,timestamp,notes,n_runs,R2,RMSE,MAE,Accuracy@10%,Accuracy@20%,MAPE,Mean Percentage Error
20260622_000407,2026-06-22T00:04:07,Baseline hybrid model (initial logged run),15,0.9468871615380824,2487878.7956146654,1003489.7925841144,29.612903225806456,54.473118279569896,23.23866539849586,3.49750935340352
20260622_024300,2026-06-22T02:43:00,scheduled run 27925877961,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260622_044143,2026-06-22T04:41:43,scheduled run 27929657892,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260623_042835,2026-06-23T04:28:35,scheduled run 28001977897,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.30030422553615,3.0835853096964243
20260624_043523,2026-06-24T04:35:23,scheduled run 28075015375,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260625_043501,2026-06-25T04:35:01,scheduled run 28146711536,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260626_043819,2026-06-26T04:38:19,scheduled run 28217097300,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260627_043106,2026-06-27T04:31:06,scheduled run 28278397148,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260628_044005,2026-06-28T04:40:05,scheduled run 28311318809,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260630_043543,2026-06-30T04:35:43,scheduled run 28420145058,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260701_044016,2026-07-01T04:40:16,scheduled run 28493544277,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260702_043441,2026-07-02T04:34:41,scheduled run 28565196155,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260703_042744,2026-07-03T04:27:44,scheduled run 28638019891,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260704_042541,2026-07-04T04:25:41,scheduled run 28694567311,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260705_043307,2026-07-05T04:33:07,scheduled run 28729333917,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260706_043737,2026-07-06T04:37:37,scheduled run 28767729521,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260707_043138,2026-07-07T04:31:38,scheduled run 28841230221,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260708_041340,2026-07-08T04:13:40,scheduled run 28916502375,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260709_043004,2026-07-09T04:30:04,scheduled run 28993704295,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260710_043129,2026-07-10T04:31:29,scheduled run 29068796121,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260711_041249,2026-07-11T04:12:49,scheduled run 29138920014,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260712_042105,2026-07-12T04:21:05,scheduled run 29179300481,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.30030422553615,3.0835853096964243
20260713_042303,2026-07-13T04:23:03,scheduled run 29223326930,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260714_041043,2026-07-14T04:10:43,scheduled run 29304805021,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260715_041114,2026-07-15T04:11:14,scheduled run 29387841702,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260716_041138,2026-07-16T04:11:38,scheduled run 29470260557,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260717_041143,2026-07-17T04:11:43,scheduled run 29553725270,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.30030422553615,3.0835853096964243
20260718_040955,2026-07-18T04:09:55,scheduled run 29629742996,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260719_041845,2026-07-19T04:18:45,scheduled run 29672826907,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260720_042539,2026-07-20T04:25:39,scheduled run 29716364163,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260721_041338,2026-07-21T04:13:38,scheduled run 29800096359,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260722_041451,2026-07-22T04:14:51,scheduled run 29890007040,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260723_041315,2026-07-23T04:13:15,scheduled run 29978464192,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260724_041244,2026-07-24T04:12:44,scheduled run 30065678981,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260725_041159,2026-07-25T04:11:59,scheduled run 30143227332,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260726_042030,2026-07-26T04:20:30,scheduled run 30187346569,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.30030422553615,3.0835853096964243
20260727_042704,2026-07-27T04:27:04,scheduled run 30236518949,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.30030422553615,3.0835853096964243
20260728_041115,2026-07-28T04:11:15,scheduled run 30327458521,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260729_041223,2026-07-29T04:12:23,scheduled run 30421074777,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260730_041053,2026-07-30T04:10:53,scheduled run 30512606147,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260731_041837,2026-07-31T04:18:37,scheduled run 30603266678,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260801_041720,2026-08-01T04:17:20,scheduled run 30683248536,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260802_042021,2026-08-02T04:20:21,scheduled run 30731848986,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260803_042239,2026-08-03T04:22:39,scheduled run 30783666823,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260804_041228,2026-08-04T04:12:28,scheduled run 30876348669,15,0.9396518545174988,2689729.1074971827,1004180.6892690448,30.779569892473123,55.89784946236559,22.300304225536145,3.0835853096963985
20260805_040926,2026-08-05T04:09:26,scheduled run 30973816194,15,0.9393745579809266,2695981.0468241675,1004752.3189328164,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532828
20260806_041217,2026-08-06T04:12:17,scheduled run 31070002110,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260807_040810,2026-08-07T04:08:10,scheduled run 31145861405,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260808_034020,2026-08-08T03:40:20,scheduled run 31237268379,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260809_034132,2026-08-09T03:41:32,scheduled run 31292548425,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260810_034359,2026-08-10T03:43:59,scheduled run 31352837493,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260811_034212,2026-08-11T03:42:12,scheduled run 31455574911,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260812_035404,2026-08-12T03:54:04,scheduled run 31560839061,15,0.9393745579809266,2695981.0468241675,1004752.3189328164,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532828
20260813_035259,2026-08-13T03:52:59,scheduled run 31664769789,15,0.9393745579809266,2695981.0468241675,1004752.3189328164,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532828
20260814_035407,2026-08-14T03:54:07,scheduled run 31767581399,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.82258064516129,55.90322580645161,22.307233180759926,3.095048234532804
20260815_032436,2026-08-15T03:24:36,scheduled run 31861225918,15,0.9393745579809266,2695981.0468241675,1004752.318932816,30.822580645161292,55.90322580645161,22.307233180759926,3.0950482345328036
