,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
467,Tiago Volpi,0.3,0.3,0.3,0.00,0.00,0.0,0.0,2023-2024,32,br BRA,Toluca,mx Liga MX,34,3060,34.0,34,0,0,0.3,0.0,0.3,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.3,0.00,0.00,0.3,81.8,,GK,fba79ac8
468,Kouadou Assoumou,0.3,1.1,2.0,0.13,0.25,1.1,0.8,2023-2024,20,fr FRA,Troyes,fr Ligue 2,21,1021,11.3,12,9,1,0.3,0.2,0.4,0.3,0.0,0.0,0.0,1.1,0.8,0.0,2.0,0.13,0.25,1.1,52.2,,FW,4de89eb7
469,Francesco Forte,0.3,1.2,3.2,0.08,0.23,0.6,0.4,2023-2024,30,it ITA,2 Teams,it Serie B,32,1702,18.9,18,14,2,0.3,0.1,0.3,0.3,0.0,0.1,0.1,0.6,0.4,0.0,3.2,0.08,0.23,1.2,36.7,,FWMF,69e11a01
470,Malik Tchokounté,0.3,0.8,1.8,0.13,0.29,0.3,0.2,2023-2024,34,fr FRA,Stade Laval,fr Ligue 2,35,2724,30.3,31,4,0,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.3,0.2,0.0,1.8,0.13,0.29,0.8,43.6,,FW,ed0c3318
471,Kapitbafan Djoco,0.3,0.7,2.1,0.11,0.31,0.7,0.3,2023-2024,27,sn SEN,2 Teams,fr Ligue 2,35,2045,22.7,27,8,0,0.3,0.1,0.4,0.2,0.0,0.0,0.0,0.7,0.3,0.0,2.1,0.11,0.31,0.7,34.0,,FWMF,4d2130fc
472,Karlo Butić,0.3,0.9,2.7,0.08,0.24,0.3,0.4,2023-2024,24,hr CRO,FeralpiSalò,it Serie B,32,1705,18.9,19,13,0,0.3,0.0,0.3,0.2,0.1,0.1,0.0,0.3,0.4,0.0,2.7,0.08,0.24,0.9,33.3,,FW,165f9fbf
473,Matthew Godden,0.3,1.0,2.4,0.11,0.26,0.4,0.1,2023-2024,32,eng ENG,Coventry City,eng Championship,35,2046,22.7,23,12,7,0.3,0.0,0.3,0.3,0.0,0.1,0.1,0.4,0.1,0.0,2.4,0.11,0.26,1.0,42.6,,FW,4e43f8c0
474,Borja Sainz,0.3,0.8,2.3,0.11,0.33,1.6,0.9,2023-2024,22,es ESP,Norwich City,eng Championship,33,2048,22.8,25,8,2,0.3,0.1,0.4,0.3,0.0,0.0,0.0,1.6,0.9,0.0,2.3,0.11,0.33,0.8,34.0,,MF,1b40049a
475,Sam Silvera,0.3,0.6,3.0,0.09,0.44,0.8,0.5,2023-2024,22,au AUS,Middlesbrough,eng Championship,37,1369,15.2,12,25,6,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.8,0.5,0.0,3.0,0.09,0.44,0.6,19.6,,MFFW,e76ad32b
476,Andrew Jung,0.3,0.8,2.1,0.08,0.22,0.4,0.2,2023-2024,25,fr FRA,Valenciennes,fr Ligue 2,25,1027,11.4,11,14,2,0.3,0.2,0.4,0.2,0.1,0.1,0.0,0.4,0.2,0.0,2.1,0.08,0.22,0.8,37.5,,FW,0249b79b
477,Eduard Bello,0.3,0.9,1.6,0.17,0.30,0.9,1.1,2023-2024,27,ve VEN,Mazatlán,mx Liga MX,24,1027,11.4,8,16,3,0.3,0.1,0.4,0.3,0.0,0.1,0.1,0.9,1.1,0.0,1.6,0.17,0.30,0.9,55.6,,MFDF,2b40500f
478,Sebas Moyano,0.3,0.7,2.5,0.11,0.38,0.8,0.7,2023-2024,26,es ESP,Oviedo,es Segunda División,41,2740,30.4,32,9,1,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.8,0.7,0.0,2.5,0.11,0.38,0.7,28.0,,MF,8c87339e
479,Daniel Bragança,0.3,0.5,1.5,0.18,0.50,1.8,1.6,2023-2024,24,pt POR,Sporting CP,pt Primeira Liga,28,1028,11.4,10,18,3,0.3,0.2,0.4,0.3,0.0,0.0,0.0,1.8,1.6,0.0,1.5,0.18,0.50,0.5,35.3,,MF,0c152537
480,Jari Vandeputte,0.3,0.7,1.5,0.16,0.33,0.6,0.6,2023-2024,27,be BEL,Catanzaro,it Serie B,36,3088,34.3,36,0,1,0.3,0.4,0.7,0.2,0.0,0.0,0.0,0.6,0.6,0.0,1.5,0.16,0.33,0.7,47.1,,MF,68e75bf4
481,Edgar López,0.3,0.6,1.7,0.16,0.42,0.5,0.3,2023-2024,24,mx MEX,Toluca,mx Liga MX,33,1720,19.1,17,16,1,0.3,0.1,0.3,0.3,0.0,0.0,0.0,0.5,0.3,0.0,1.7,0.16,0.42,0.6,37.5,,FWMF,a9cde92c
482,Jón Dagur Þorsteinsson,0.3,1.1,2.3,0.11,0.23,1.5,0.3,2023-2024,24,is ISL,OH Leuven,be Belgian Pro League,37,2410,26.8,29,8,1,0.3,0.3,0.5,0.3,0.0,0.0,0.0,1.5,0.3,0.0,2.3,0.11,0.23,1.1,48.4,,FWMF,474beb8b
483,Charles-Andréas Brym,0.3,1.0,2.3,0.11,0.25,0.7,0.3,2023-2024,24,ca CAN,Sparta Rotterdam,nl Eredivisie,31,1379,15.3,12,19,2,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.7,0.3,0.0,2.3,0.11,0.25,1.0,45.7,,FWMF,be76f15c
484,Himad Abdelli,0.3,0.6,1.7,0.05,0.15,1.6,0.9,2023-2024,23,dz ALG,Angers,fr Ligue 2,35,3107,34.5,35,0,0,0.3,0.1,0.3,0.1,0.2,0.2,0.0,1.6,0.9,0.0,1.7,0.05,0.15,0.6,33.9,,MFFW,7978cbf0
485,José Corpas,0.3,0.6,1.8,0.07,0.23,0.7,0.8,2023-2024,32,es ESP,Eibar,es Segunda División,37,2073,23.0,22,15,1,0.3,0.1,0.4,0.1,0.1,0.1,0.0,0.7,0.8,0.0,1.8,0.07,0.23,0.6,31.0,,MFDF,422b05e3
486,Kornelius Hansen,0.3,1.2,2.7,0.10,0.21,0.3,0.1,2023-2024,22,no NOR,Almere City,nl Eredivisie,26,1385,15.4,17,9,5,0.3,0.1,0.3,0.3,0.0,0.0,0.0,0.3,0.1,0.0,2.7,0.10,0.21,1.2,46.3,,FW,a7273643
487,Elady Zorrilla,0.3,0.5,1.2,0.21,0.56,0.6,0.3,2023-2024,33,es ESP,2 Teams,es Segunda División,30,1732,19.2,20,10,4,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.6,0.3,0.0,1.2,0.21,0.56,0.5,37.5,,MF,8862695f
488,Calvin Stengs,0.3,0.9,1.9,0.14,0.30,0.7,0.1,2023-2024,24,nl NED,Feyenoord,nl Eredivisie,29,2095,23.3,26,3,0,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.7,0.1,0.0,1.9,0.14,0.30,0.9,45.5,,MFFW,8f7e6783
489,Felix Klaus,0.3,0.7,2.7,0.10,0.35,1.1,0.4,2023-2024,30,de GER,Düsseldorf,de 2. Bundesliga,30,2095,23.3,27,3,1,0.3,0.1,0.3,0.3,0.0,0.0,0.0,1.1,0.4,0.0,2.7,0.10,0.35,0.7,27.4,,MFFW,aeda1f69
490,Rodrigo Gomes,0.3,0.7,1.8,0.14,0.39,1.2,1.0,2023-2024,20,pt POR,Estoril,pt Primeira Liga,30,2445,27.2,26,4,0,0.3,0.3,0.5,0.3,0.0,0.0,0.0,1.2,1.0,0.0,1.8,0.14,0.39,0.7,36.0,,MFFW,8dcf77c0
491,Silvio Merkaj,0.3,0.5,1.3,0.20,0.50,0.7,0.3,2023-2024,25,al ALB,FC Südtirol,it Serie B,33,1401,15.6,12,21,0,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.7,0.3,0.0,1.3,0.20,0.50,0.5,40.0,,FW,2dec2c6b
492,Antonin Bobichon,0.3,0.6,1.4,0.18,0.40,1.0,0.1,2023-2024,27,fr FRA,Stade Laval,fr Ligue 2,28,1401,15.6,17,11,3,0.3,0.1,0.3,0.3,0.0,0.0,0.0,1.0,0.1,0.0,1.4,0.18,0.40,0.6,45.5,,MFFW,7d937aa1
493,Carlos Alberto,0.3,1.2,1.8,0.10,0.14,0.9,1.1,2023-2024,21,br BRA,RWDM,be Belgian Pro League,16,1055,11.7,15,1,0,0.3,0.2,0.4,0.2,0.1,0.1,0.0,0.9,1.1,0.0,1.8,0.10,0.14,1.2,66.7,,MF,08f48d96
494,Cedric Gondo,0.3,0.9,2.1,0.10,0.23,0.4,0.2,2023-2024,26,ci CIV,2 Teams,it Serie B,31,2110,23.4,24,7,3,0.3,0.0,0.3,0.2,0.0,0.0,0.0,0.4,0.2,0.0,2.1,0.10,0.23,0.9,44.9,,FW,ff37d2ef
495,Matheus Martins,0.3,0.8,3.1,0.08,0.33,1.3,0.3,2023-2024,20,br BRA,Watford,eng Championship,39,1764,19.6,20,19,6,0.3,0.1,0.4,0.3,0.0,0.0,0.0,1.3,0.3,0.0,3.1,0.08,0.33,0.8,25.0,,FWMF,73fd2787
496,Yoann Touzghar,0.3,0.6,1.1,0.24,0.45,0.1,0.3,2023-2024,36,tn TUN,Ajaccio,fr Ligue 2,28,1766,19.6,23,5,0,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.1,0.3,0.0,1.1,0.24,0.45,0.6,52.4,,FW,4e47507a
497,Ryotaro Ito,0.3,1.0,2.3,0.11,0.26,0.4,0.5,2023-2024,25,jp JPN,Sint-Truiden,be Belgian Pro League,36,2481,27.6,30,6,2,0.3,0.1,0.4,0.3,0.0,0.0,0.0,0.4,0.5,0.0,2.3,0.11,0.26,1.0,42.9,,MF,8602157a
498,Jacopo Segre,0.3,0.6,1.2,0.22,0.44,1.6,0.7,2023-2024,26,it ITA,Palermo,it Serie B,34,2487,27.6,27,7,3,0.3,0.1,0.4,0.3,0.0,0.0,0.0,1.6,0.7,0.0,1.2,0.22,0.44,0.6,50.0,,MF,3cb132e6
499,Justin Lonwijk,0.3,0.6,2.4,0.07,0.29,1.4,1.3,2023-2024,23,sr SUR,2 Teams,2 Comps,18,1066,11.8,13,5,0,0.3,0.2,0.4,0.2,0.1,0.1,0.0,1.4,1.3,0.0,2.4,0.07,0.29,0.6,24.1,,MFFW,9cf14be5
500,Víctor Meseguer,0.3,0.4,1.1,0.23,0.60,0.8,0.8,2023-2024,24,es ESP,Valladolid,es Segunda División,33,2134,23.7,24,9,7,0.3,0.2,0.4,0.3,0.0,0.0,0.0,0.8,0.8,0.0,1.1,0.23,0.60,0.4,38.5,,MFFW,428a06a7
501,Kahveh Zahiroleslam,0.3,0.7,1.7,0.15,0.38,0.3,0.3,2023-2024,21,us USA,Sint-Truiden,be Belgian Pro League,27,1798,20.0,22,5,1,0.3,0.1,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0,1.7,0.15,0.38,0.7,39.4,,FW,ff17d63b
502,Aymen Boutoutaou,0.2,1.2,3.2,0.06,0.15,1.8,1.0,2023-2024,22,fr FRA,Valenciennes,fr Ligue 2,26,1440,16.0,16,10,4,0.2,0.1,0.3,0.2,0.1,0.1,0.0,1.8,1.0,0.0,3.2,0.06,0.15,1.2,38.5,,MFFW,b5339db2
503,Chiquinho,0.2,0.5,2.3,0.11,0.50,1.1,0.6,2023-2024,23,pt POR,2 Teams,2 Comps,30,1800,20.0,23,7,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,1.1,0.6,0.0,2.3,0.11,0.50,0.5,21.7,,MF,dc6c2f02
504,Tidjany Chabrol,0.2,1.2,2.6,0.10,0.21,0.7,0.2,2023-2024,21,fr FRA,Gil Vicente FC,pt Primeira Liga,28,1080,12.0,8,20,3,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.7,0.2,0.0,2.6,0.10,0.21,1.2,45.2,,MFFW,f8d7f03b
505,Sam Bell,0.2,0.5,1.8,0.14,0.50,0.6,0.7,2023-2024,21,eng ENG,Bristol City,eng Championship,33,1805,20.1,23,10,0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.7,0.0,1.8,0.14,0.50,0.5,27.0,,MFFW,a95abffc
506,Paxten Aaronson,0.2,1.1,2.6,0.10,0.24,1.7,0.6,2023-2024,19,us USA,2 Teams,2 Comps,19,1445,16.1,15,4,1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,1.7,0.6,0.0,2.6,0.10,0.24,1.1,40.5,,MF,4cd41883
507,Casper Terho,0.2,0.5,1.7,0.14,0.50,2.0,0.9,2023-2024,20,fi FIN,Union SG,2 Comps,22,1085,12.1,12,10,19,0.2,0.0,0.2,0.2,0.0,0.0,0.0,2.0,0.9,0.0,1.7,0.14,0.50,0.5,28.6,,MF,bd2f622a
508,Michel-Ange Balikwisha,0.2,0.6,1.5,0.15,0.35,2.1,0.9,2023-2024,22,cd COD,Antwerp,be Belgian Pro League,33,2534,28.2,27,6,0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,2.1,0.9,0.0,1.5,0.15,0.35,0.6,41.5,,MFFW,172bab0a
509,Gabri Martínez,0.2,0.9,2.1,0.12,0.29,0.7,0.4,2023-2024,20,es ESP,CD Mirandés,es Segunda División,41,3278,36.4,37,4,0,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.7,0.4,0.0,2.1,0.12,0.29,0.9,41.3,,MFFW,0c89e00b
510,Kion Etete,0.2,1.0,2.2,0.11,0.25,0.7,0.7,2023-2024,21,eng ENG,Cardiff City,eng Championship,28,1093,12.1,12,16,2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.7,0.7,0.0,2.2,0.11,0.25,1.0,44.4,,FW,df2caddd
511,Andy Carroll,0.2,0.9,2.6,0.10,0.29,0.5,0.2,2023-2024,34,eng ENG,Amiens,fr Ligue 2,28,1458,16.2,13,15,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.5,0.2,0.0,2.6,0.10,0.29,0.9,33.3,,FW,b581987a
512,Jean Meneses,0.2,0.5,1.9,0.13,0.55,0.8,0.5,2023-2024,30,cl CHI,Toluca,mx Liga MX,32,2188,24.3,26,6,0,0.2,0.3,0.6,0.2,0.0,0.0,0.0,0.8,0.5,0.0,1.9,0.13,0.55,0.5,24.4,,MF,dc7acc74
513,Mamadou Camara,0.2,0.7,1.5,0.16,0.38,0.6,0.6,2023-2024,22,ml MLI,Quevilly-Rouen,fr Ligue 2,36,2196,24.4,25,11,0,0.2,0.2,0.5,0.2,0.0,0.0,0.0,0.6,0.6,0.0,1.5,0.16,0.38,0.7,43.2,,MFFW,316e70c7
514,Carlos Alcaraz,0.2,1.3,3.3,0.07,0.19,1.5,0.3,2023-2024,20,ar ARG,Southampton,eng Championship,23,1102,12.2,13,10,4,0.2,0.1,0.3,0.2,0.0,0.1,0.1,1.5,0.3,0.0,3.3,0.07,0.19,1.3,39.0,,FWMF,4abac767
515,Daan Rots,0.2,0.6,1.8,0.13,0.44,1.3,0.6,2023-2024,22,nl NED,Twente,nl Eredivisie,33,2573,28.6,33,0,0,0.2,0.3,0.6,0.2,0.0,0.0,0.0,1.3,0.6,0.0,1.8,0.13,0.44,0.6,30.8,,MFFW,d40b01f6
516,Marco Nasti,0.2,0.9,2.4,0.10,0.27,0.2,0.1,2023-2024,19,it ITA,Bari,it Serie B,35,2206,24.5,26,9,0,0.2,0.0,0.3,0.2,0.0,0.0,0.0,0.2,0.1,0.0,2.4,0.10,0.27,0.9,37.3,,FW,555acb58
517,Juan Perea,0.2,1.0,2.7,0.09,0.24,0.2,0.2,2023-2024,23,co COL,Hansa Rostock,de 2. Bundesliga,33,1472,16.4,14,19,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0.2,0.0,2.7,0.09,0.24,1.0,38.6,,FW,ff3d391c
518,Fabio Kaufmann,0.2,0.7,1.7,0.14,0.35,0.8,0.6,2023-2024,30,de GER,BTSV,de 2. Bundesliga,32,2224,24.7,29,3,1,0.2,0.0,0.3,0.2,0.0,0.0,0.0,0.8,0.6,0.0,1.7,0.14,0.35,0.7,40.5,,MF,b9a64492
519,Júnior Brumado,0.2,0.5,2.0,0.06,0.22,0.8,0.0,2023-2024,24,br BRA,Hansa Rostock,de 2. Bundesliga,23,1483,16.5,18,5,0,0.2,0.0,0.2,0.1,0.1,0.1,0.0,0.8,0.0,0.0,2.0,0.06,0.22,0.5,27.3,,FW,bccc1bb4
520,Vakoun Bayo,0.2,0.7,2.0,0.12,0.35,0.6,0.2,2023-2024,26,ci CIV,Watford,eng Championship,39,2226,24.7,27,12,1,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.6,0.2,0.0,2.0,0.12,0.35,0.7,34.0,,FW,132f161f
521,Gustavo Del Prete,0.2,0.9,2.3,0.10,0.28,1.0,0.3,2023-2024,27,ar ARG,2 Teams,mx Liga MX,31,1856,20.6,24,7,2,0.2,0.1,0.3,0.2,0.0,0.0,0.0,1.0,0.3,0.0,2.3,0.10,0.28,0.9,37.5,,MFFW,839ac4ea
522,Lago Junior,0.2,0.7,2.0,0.12,0.33,0.6,0.3,2023-2024,32,ci CIV,Racing Sant,es Segunda División,27,1114,12.4,13,14,9,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.6,0.3,0.0,2.0,0.12,0.33,0.7,36.0,,MF,360d70f8
523,Facundo Batista,0.2,0.9,1.7,0.10,0.18,0.4,0.0,2023-2024,24,uy URU,2 Teams,mx Liga MX,32,2232,24.8,26,6,0,0.2,0.1,0.4,0.2,0.1,0.1,0.0,0.4,0.0,0.0,1.7,0.10,0.18,0.9,52.4,,FW,02cf308a
524,Sirlord Conteh,0.2,1.1,2.6,0.09,0.21,0.2,0.2,2023-2024,27,de GER,Paderborn 07,de 2. Bundesliga,34,1116,12.4,9,25,0,0.2,0.2,0.5,0.2,0.0,0.0,0.0,0.2,0.2,0.0,2.6,0.09,0.21,1.1,43.8,,FWMF,34e09d5f
525,Lucas Da Cunha,0.2,0.7,1.7,0.15,0.35,1.0,0.2,2023-2024,22,fr FRA,Como,it Serie B,35,2605,28.9,32,3,1,0.2,0.2,0.4,0.2,0.0,0.0,0.0,1.0,0.2,0.0,1.7,0.15,0.35,0.7,41.7,,MF,007faf7a
526,Alfonso Alvarado,0.2,1.1,2.3,0.11,0.22,0.8,0.3,2023-2024,23,mx MEX,León,mx Liga MX,26,1489,16.5,16,10,6,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.8,0.3,0.0,2.3,0.11,0.22,1.1,47.4,,FWMF,f2f8ca42
527,Iker Losada,0.2,0.6,2.2,0.11,0.38,0.3,0.4,2023-2024,21,es ESP,Racing Ferrol,es Segunda División,42,3364,37.4,41,1,0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.3,0.4,0.0,2.2,0.11,0.38,0.6,29.3,,MFFW,41521385
528,Anthony Musaba,0.2,0.6,1.7,0.15,0.39,0.9,0.2,2023-2024,22,nl NED,Sheffield Weds,eng Championship,43,2618,29.1,29,14,3,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.9,0.2,0.0,1.7,0.15,0.39,0.6,37.5,,MFFW,cf7836a2
529,Tom Fellows,0.2,0.5,1.0,0.24,0.50,0.3,0.3,2023-2024,20,eng ENG,West Bromwich Albion,eng Championship,33,1498,16.6,14,19,11,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.24,0.50,0.5,47.1,,MF,2fa188f2
530,Unai Bilbao,0.2,0.3,1.0,0.12,0.38,0.5,0.5,2023-2024,29,es ESP,Atlético San Luis,mx Liga MX,27,2247,25.0,26,1,4,0.2,0.0,0.2,0.1,0.1,0.2,0.0,0.5,0.5,0.0,1.0,0.12,0.38,0.3,32.0,,DF,aa98e19a
531,Emil Hansson,0.2,0.7,1.4,0.10,0.21,0.3,0.0,2023-2024,25,se SWE,Heracles Almelo,nl Eredivisie,24,1885,20.9,24,0,0,0.2,0.3,0.5,0.1,0.1,0.1,0.0,0.3,0.0,0.0,1.4,0.10,0.21,0.7,46.7,,MFFW,0b1e3c10
532,Yuki Soma,0.2,0.6,1.2,0.19,0.38,0.6,0.2,2023-2024,26,jp JPN,Casa Pia,pt Primeira Liga,32,1887,21.0,22,10,1,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.6,0.2,0.0,1.2,0.19,0.38,0.6,50.0,,FWMF,e997f52f
533,Eneko Jauregi,0.2,0.4,1.6,0.15,0.55,0.1,0.2,2023-2024,27,es ESP,Amorebieta,es Segunda División,37,2265,25.2,25,12,2,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.2,0.0,1.6,0.15,0.55,0.4,27.5,,FW,9b608841
534,Francisco Conceição,0.2,1.1,3.6,0.07,0.22,1.5,0.0,2023-2024,20,pt POR,Porto,pt Primeira Liga,27,1888,21.0,21,6,2,0.2,0.2,0.4,0.2,0.0,0.0,0.0,1.5,0.0,0.0,3.6,0.07,0.22,1.1,30.3,,MF,5ef3d210
535,Oday Dabbagh,0.2,0.8,1.9,0.13,0.29,0.9,0.1,2023-2024,24,ps PLE,Charleroi,be Belgian Pro League,27,1888,21.0,23,4,3,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.9,0.1,0.0,1.9,0.13,0.29,0.8,43.6,,FW,cd384d5a
536,Thibo Somers,0.2,0.5,1.8,0.13,0.50,1.5,0.7,2023-2024,24,be BEL,Cercle Brugge,be Belgian Pro League,35,3022,33.6,34,1,0,0.2,0.1,0.4,0.2,0.0,0.0,0.0,1.5,0.7,0.0,1.8,0.13,0.50,0.5,26.7,,MFFW,64238658
537,Lars Stindl,0.2,0.8,2.5,0.10,0.29,0.5,0.5,2023-2024,34,de GER,Karlsruher,de 2. Bundesliga,24,1514,16.8,17,7,0,0.2,0.2,0.5,0.2,0.0,0.0,0.0,0.5,0.5,0.0,2.5,0.10,0.29,0.8,33.3,,FWMF,7cd6badb
538,Lutsharel Geertruida,0.2,0.5,1.2,0.18,0.39,0.9,0.9,2023-2024,23,nl NED,Feyenoord,nl Eredivisie,34,3038,33.8,34,0,0,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.9,0.9,0.0,1.2,0.18,0.39,0.5,45.0,,DF,242e1043
539,Quinten Timber,0.2,0.6,2.1,0.11,0.37,1.4,0.4,2023-2024,22,nl NED,Feyenoord,nl Eredivisie,31,2663,29.6,31,0,0,0.2,0.3,0.5,0.2,0.0,0.0,0.0,1.4,0.4,0.0,2.1,0.11,0.37,0.6,30.2,,MF,803e7aca
540,Danny Ward,0.2,0.9,2.3,0.10,0.27,0.3,0.0,2023-2024,31,eng ENG,Huddersfield Town,eng Championship,21,1142,12.7,13,8,2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,2.3,0.10,0.27,0.9,37.9,,FW,cfb29823
541,Lee Hyunju,0.2,0.5,1.5,0.16,0.44,0.6,0.6,2023-2024,20,kr KOR,Wehen Wiesbaden,de 2. Bundesliga,28,1524,16.9,20,8,0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.6,0.0,1.5,0.16,0.44,0.5,36.0,,MF,786102e2
542,Ricardo Monreal,0.2,0.8,1.7,0.14,0.29,0.8,0.2,2023-2024,22,mx MEX,Necaxa,mx Liga MX,25,1525,16.9,18,7,3,0.2,0.5,0.8,0.2,0.0,0.0,0.0,0.8,0.2,0.0,1.7,0.14,0.29,0.8,50.0,,FWMF,cc9ee242
543,Willum Þór Willumsson,0.2,0.7,1.6,0.15,0.35,0.7,0.4,2023-2024,24,is ISL,Go Ahead Eagles,nl Eredivisie,31,2672,29.7,31,0,0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.7,0.4,0.0,1.6,0.15,0.35,0.7,42.6,,MF,f3f80000
544,Gyrano Kerk,0.2,0.5,1.7,0.14,0.50,1.4,0.4,2023-2024,27,sr SUR,Antwerp,be Belgian Pro League,33,1147,12.7,11,22,7,0.2,0.2,0.4,0.2,0.0,0.0,0.0,1.4,0.4,0.0,1.7,0.14,0.50,0.5,27.3,,MFFW,eb907bfc
545,Matias Antonini Lui,0.2,0.2,0.6,0.38,1.00,0.4,0.8,2023-2024,25,br BRA,Catanzaro,it Serie B,14,1151,12.8,13,1,3,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.8,0.0,0.6,0.38,1.00,0.2,37.5,,DF,60c8da19
546,Ronaldo Tavares,0.2,0.6,2.3,0.10,0.38,0.3,0.2,2023-2024,26,pt POR,Estrela,pt Primeira Liga,24,1152,12.8,13,11,5,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.2,0.0,2.3,0.10,0.38,0.6,26.7,,FW,7408aba2
547,Birkir Bjarnason,0.2,0.4,1.4,0.17,0.56,0.5,0.3,2023-2024,35,is ISL,Brescia,it Serie B,37,1928,21.4,22,15,1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.5,0.3,0.0,1.4,0.17,0.56,0.4,31.0,,MF,da13074e
548,Luka Ivanušec,0.2,0.9,2.2,0.11,0.27,1.2,0.3,2023-2024,24,hr CRO,Feyenoord,nl Eredivisie,24,1159,12.9,14,10,1,0.2,0.4,0.6,0.2,0.0,0.0,0.0,1.2,0.3,0.0,2.2,0.11,0.27,0.9,39.3,,MFFW,29fbdc88
549,Hayao Kawabe,0.2,0.6,1.4,0.17,0.37,0.7,0.5,2023-2024,27,jp JPN,Standard Liège,be Belgian Pro League,36,2705,30.1,32,4,0,0.2,0.3,0.5,0.2,0.0,0.0,0.0,0.7,0.5,0.0,1.4,0.17,0.37,0.6,46.3,,MFFW,8142a510
550,Lance Duijvestijn,0.2,0.6,1.7,0.14,0.40,1.0,0.8,2023-2024,24,nl NED,2 Teams,nl Eredivisie,28,1546,17.2,16,12,4,0.2,0.4,0.6,0.2,0.0,0.0,0.0,1.0,0.8,0.0,1.7,0.14,0.40,0.6,34.5,,MF,a2a56c85
551,Samuel Obeng,0.2,0.5,1.3,0.12,0.31,0.4,0.3,2023-2024,26,gh GHA,Huesca,es Segunda División,38,2324,25.8,27,11,0,0.2,0.0,0.3,0.2,0.1,0.1,0.0,0.4,0.3,0.0,1.3,0.12,0.31,0.5,38.2,,FW,6b846bd8
552,Lukas Schleimer,0.2,0.9,2.0,0.12,0.25,0.7,0.1,2023-2024,23,de GER,Nürnberg,de 2. Bundesliga,33,1937,21.5,21,12,1,0.2,0.1,0.4,0.2,0.0,0.0,0.0,0.7,0.1,0.0,2.0,0.12,0.25,0.9,46.5,,MFFW,11629e82
553,Pablo Martínez,0.2,0.5,2.2,0.10,0.43,0.8,1.4,2023-2024,25,es ESP,Levante,es Segunda División,36,2325,25.8,28,8,0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.8,1.4,0.0,2.2,0.10,0.43,0.5,24.1,,MF,ecc77652
554,Juan Pablo Vigón,0.2,0.7,1.5,0.15,0.33,1.1,0.6,2023-2024,32,mx MEX,UANL,mx Liga MX,32,1164,12.9,10,22,1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,1.1,0.6,0.0,1.5,0.15,0.33,0.7,45.0,,MF,dd6862d1
