,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
2961,Brian De Keersmaecker,Belgium,Heracles Almelo,nl Eredivisie,MF,31.5,23.5,0.1,0.2,0.1,0.07500000000000001,0.185,0.15000000000000002,1.4,32.0,2836.5,0.05,0.05,0.0,0.8500000000000001,41.35,0.35,32.0,0.0,1.6,0.0,0.2,1.3,0.9,0.4
2962,Thomas Delaney,Denmark,Anderlecht,be Belgian Pro League,MFDF,17.35,31.5,0.15000000000000002,0.25,0.2,0.13,0.32,0.2,1.7,23.5,1563.0,0.0,0.0,0.0,1.35,36.95,0.45,18.5,5.0,1.35,0.5,0.3,1.9,1.3,0.5
2963,Chrislain Matsima,France,2 Teams,fr Ligue 1,DF,22.35,21.5,0.05,0.1,0.05,0.10500000000000001,0.5,0.05,1.4,25.0,2014.5,0.0,0.0,0.0,0.45,21.450000000000003,0.1,22.0,3.0,0.95,7.5,0.0,1.8,0.5,0.1
2964,Mats Köhlert,Germany,Heerenveen,nl Eredivisie,DF,30.2,25.5,0.15000000000000002,0.15000000000000002,0.05,0.07,0.165,0.05,1.2,30.5,2718.0,0.0,0.0,0.0,0.35,27.0,0.1,30.5,0.0,1.0,0.0,0.0,1.4,0.3,0.0
2965,Yasin Özcan,Turkey,Kasımpaşa,tr Süper Lig,DF,31.9,17.5,0.0,0.1,0.05,0.09,0.335,0.05,1.6,35.5,2871.0,0.0,0.0,0.0,0.55,30.55,0.15000000000000002,33.0,2.5,1.35,0.0,0.0,1.8,0.5,0.2
2966,Scott Kennedy,Canada,Wolfsberger AC,at Austrian Bundesliga,DFMF,17.05,26.5,0.0,0.1,0.1,0.1,0.5,0.1,1.1,18.5,1533.5,0.0,0.0,0.0,0.65,19.65,0.1,18.5,0.0,0.75,1.5,0.1,0.9,0.8,0.1
2967,Opa Sanganté,Guinea-Bissau,USL Dunkerque,fr Ligue 2,DF,32.45,32.5,0.0,0.1,0.1,0.15000000000000002,0.835,0.1,0.8999999999999999,33.5,2924.5,0.0,0.0,0.0,0.45,17.75,0.1,32.5,1.0,0.8500000000000001,0.0,0.1,0.6,0.4,0.1
2968,Piero Hincapié,Ecuador,Leverkusen,de Bundesliga,DF,23.1,21.5,0.1,0.15000000000000002,0.1,0.075,0.42000000000000004,0.1,0.9500000000000001,29.0,2077.0,0.0,0.0,0.0,0.9,23.45,0.25,22.0,7.0,1.3,3.0,0.1,1.1,0.7,0.1
2969,Mamadou Diarra,Senegal,Grenoble Foot,fr Ligue 2,DF,27.0,25.5,0.0,0.05,0.05,0.125,0.7,0.05,1.1,28.0,2431.0,0.0,0.0,0.0,0.4,23.400000000000002,0.1,27.5,0.5,1.0,2.0,0.0,0.7,0.4,0.0
2970,Kenny Lala,Madagascar,Brest,fr Ligue 1,DF,31.4,31.5,0.1,0.2,0.05,0.07,0.145,0.1,0.8,31.5,2828.0,0.05,0.05,0.0,0.4,54.15,0.2,31.0,0.5,1.45,1.0,0.1,0.8,0.4,0.2
