,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
0,Macaulay Langstaff,England,Notts County,eng League Two,FWMF,30.05,26.5,0.1,0.44999999999999996,0.3,0.09000000000000001,0.22499999999999998,0.35,0.15000000000000002,40.0,2706.5,0.05,0.05,0.0,2.7,40.05,1.05,30.0,10.0,0.25,1.5,0.1,0.1,1.6,0.6
1,Sammie Szmodics,Republic of Ireland,Blackburn Rovers,eng Championship,MFFW,27.299999999999997,27.5,0.1,0.6,0.5,0.21000000000000002,0.42000000000000004,0.5,0.4,32.5,2458.5,0.0,0.0,0.0,2.5999999999999996,50.2,1.25,28.5,4.0,0.75,1.0,0.4,0.4,1.9,1.1
2,Alfie May,England,Charlton Athletic,eng League One,FWMF,32.25,30.5,0.15,0.75,0.5,0.16499999999999998,0.385,0.6,0.15000000000000002,43.5,2901.5,0.1,0.1,0.0,3.2,41.95,1.35,33.5,10.0,0.4,1.0,0.6,0.2,2.7,1.3
3,Davis Keillor-Dunn,England,Mansfield Town,eng League Two,MFFW,39.85,25.5,0.15000000000000002,0.65,0.5,0.15000000000000002,0.375,0.5,0.44999999999999996,45.5,3587.0,0.0,0.0,0.0,3.4,40.85,1.4,42.5,3.0,0.7,0.0,0.4,0.3,2.5,1.0
4,Kévin Denkey,Togo,Cercle Brugge,be Belgian Pro League,FW,26.1,22.5,0.05,0.75,0.6,0.16499999999999998,0.41000000000000003,0.7,0.05,27.5,2348.5,0.1,0.1,0.0,3.8,40.7,1.55,26.0,1.5,0.35,0.0,0.7,0.0,3.4,1.6
5,Henk Veerman,Netherlands,ADO Den Haag,nl Eerste Divisie,FW,35.3,30.5,0.2,0.9,0.6,0.20500000000000002,0.465,0.7,0.1,37.5,3178.0,0.05,0.05,0.0,3.1,44.7,1.4,36.5,1.0,0.2,0.0,0.8,0.1,3.2,1.4
6,Lawrence Shankland,Scotland,Hearts,sct Scottish Premiership,FW,32.35,27.5,0.2,0.7,0.44999999999999996,0.11499999999999999,0.33999999999999997,0.5,0.2,34.5,2912.5,0.05,0.1,0.05,3.55,34.7,1.25,32.5,2.0,0.4,0.0,0.3,0.3,3.3,1.1
7,Alexandre Mendy,Guinea-Bissau,Caen,fr Ligue 2,FW,32.15,29.5,0.05,0.5,0.35,0.125,0.295,0.44999999999999996,0.15000000000000002,33.5,2894.0,0.05,0.1,0.05,2.8499999999999996,42.4,1.2000000000000002,32.5,1.0,0.25,0.0,0.3,0.1,2.9,1.1
8,Paul Mullin,England,Wrexham,eng League Two,FW,23.099999999999998,28.5,0.1,0.55,0.4,0.11,0.245,0.44999999999999996,0.1,32.0,2081.0,0.05,0.05,0.0,3.7,40.95,1.5,21.5,10.5,0.45,1.0,0.2,0.0,4.0,1.4
9,Vangelis Pavlidis,Greece,AZ Alkmaar,nl Eredivisie,FW,29.2,24.5,0.2,1.0,0.7,0.21000000000000002,0.435,0.8500000000000001,0.15000000000000002,34.0,2626.0,0.05,0.05,0.0,3.45,48.2,1.7,30.5,3.5,0.55,0.0,0.8,0.2,3.3,1.5
10,Milan Smit,Netherlands,Cambuur,nl Eerste Divisie,FWMF,22.700000000000003,20.5,0.2,0.6499999999999999,0.3,0.11499999999999999,0.28500000000000003,0.44999999999999996,0.25,30.5,2041.5,0.1,0.15000000000000002,0.05,2.85,41.45,1.2000000000000002,23.0,7.5,0.5,3.5,0.3,0.2,3.0,1.1
11,Anders Dreyer,Denmark,Anderlecht,be Belgian Pro League,FWMF,24.15,25.5,0.3,0.65,0.35,0.12000000000000001,0.27,0.4,0.3,27.5,2174.5,0.05,0.05,0.0,2.8499999999999996,43.599999999999994,1.25,25.5,2.0,0.45,0.0,0.2,0.3,2.8,1.2
12,Viktor Gyökeres,Sweden,Sporting CP,pt Primeira Liga,FW,31.799999999999997,25.5,0.25,1.35,0.8,0.2,0.375,1.1,0.2,33.0,2858.5,0.30000000000000004,0.30000000000000004,0.0,4.0,54.45,2.2,31.5,1.5,0.25,0.5,1.3,0.2,4.5,2.6
13,Phil Foden,England,Manchester City,eng Premier League,MF,25.7,23.5,0.2,0.7,0.5,0.155,0.42000000000000004,0.5,0.45,31.5,2317.0,0.0,0.0,0.0,3.0,37.650000000000006,1.15,26.5,5.0,0.44999999999999996,3.5,0.4,0.5,2.7,0.8
14,Isaac Olaofe,England,Stockport,eng League Two,FW,28.6,23.5,0.1,0.55,0.44999999999999996,0.22499999999999998,0.505,0.44999999999999996,0.15000000000000002,42.5,2573.0,0.0,0.0,0.0,2.1,43.85,0.9,30.0,12.5,0.6,0.0,0.3,0.2,2.0,0.8
15,Harry Kane,England,Bayern Munich,de Bundesliga,FW,29.0,30.5,0.3,1.35,0.8,0.18,0.385,1.05,0.25,31.5,2610.0,0.25,0.25,0.0,4.449999999999999,46.65,2.05,30.0,1.5,0.35,0.0,1.0,0.2,4.3,2.0
16,Philip Otele,Nigeria,CFR Cluj,ro Liga I,FWMF,21.4,24.5,0.35,1.0,0.7,0.21,0.39,0.7,0.5,29.0,1925.5,0.0,0.0,0.0,3.25,54.25,1.8,22.0,7.0,0.6,0.5,0.8,0.4,3.3,2.0
17,Peque,Spain,Racing Sant,es Segunda División,MF,22.05,20.5,0.1,0.44999999999999996,0.2,0.095,0.265,0.35,0.44999999999999996,33.0,1984.0,0.15,0.15,0.0,1.85,36.650000000000006,0.7000000000000001,24.0,9.0,0.8,6.0,0.1,0.6,1.5,0.3
18,Gennaro Tutino,Italy,Cosenza,it Serie B,FWMF,25.0,26.5,0.15000000000000002,0.6,0.35,0.13,0.315,0.44999999999999996,0.05,28.0,2251.5,0.1,0.15000000000000002,0.0,2.8,38.75,1.1,26.5,1.5,0.2,0.0,0.3,0.1,2.7,0.9
19,Luuk de Jong,Netherlands,PSV,nl Eredivisie,FW,28.9,32.5,0.4,1.1,0.6000000000000001,0.14,0.385,0.7,0.1,32.5,2599.5,0.15000000000000002,0.2,0.1,4.15,37.0,1.6,31.5,1.0,0.45,1.0,0.5,0.1,3.6,1.1
20,Robert Lewandowski,Poland,Barcelona,es La Liga,FW,30.1,34.5,0.2,0.95,0.65,0.185,0.425,0.75,0.2,34.5,2708.5,0.1,0.1,0.0,3.45,43.95,1.5,32.0,2.5,0.15000000000000002,1.0,0.9,0.1,3.9,1.6
21,Edin Džeko,Bosnia and Herzegovina,Fenerbahçe,tr Süper Lig,FW,27.549999999999997,37.5,0.15000000000000002,0.75,0.5,0.115,0.275,0.6499999999999999,0.1,35.5,2479.5,0.1,0.15000000000000002,0.0,4.6,42.3,1.9500000000000002,29.0,6.5,0.30000000000000004,0.5,0.6,0.1,4.3,1.8
22,Joel Pohjanpalo,Finland,Venezia,it Serie B,FW,30.6,28.5,0.1,0.75,0.44999999999999996,0.16,0.36,0.6,0.15000000000000002,33.5,2754.0,0.15000000000000002,0.2,0.05,2.85,44.85,1.25,32.5,1.0,0.2,0.0,0.5,0.2,2.5,1.1
23,Loïs Openda,Belgium,RB Leipzig,de Bundesliga,FW,28.65,23.5,0.2,0.75,0.5,0.15,0.31,0.55,0.15000000000000002,33.5,2575.0,0.05,0.05,0.0,3.45,46.75,1.65,30.5,3.0,0.1,0.0,0.3,0.2,2.9,1.2
24,Krzysztof Piątek,Poland,Başakşehir,tr Süper Lig,FW,29.45,28.5,0.05,0.7,0.5,0.14,0.3,0.6499999999999999,0.15000000000000002,33.5,2650.5,0.15000000000000002,0.25,0.05,3.5,47.05,1.65,30.5,3.0,0.3,0.5,0.7,0.1,3.6,1.8
25,Fashion Sakala,Zambia,Al-Fayha,sa Saudi Pro League,FWMF,30.4,26.5,0.15000000000000002,0.6000000000000001,0.4,0.11,0.29500000000000004,0.44999999999999996,0.2,31.0,2734.5,0.1,0.1,0.0,3.0,37.3,1.15,30.5,0.5,0.45,0.0,0.3,0.2,2.5,0.9
26,Lautaro Martínez,Argentina,Inter,it Serie A,FW,29.0,25.5,0.1,0.7,0.55,0.16,0.41,0.6000000000000001,0.44999999999999996,32.0,2610.0,0.05,0.05,0.0,3.6,38.400000000000006,1.4,31.0,1.0,0.5,1.5,0.4,0.3,3.5,1.2
27,Cristiano Ronaldo,Portugal,Al-Nassr,sa Saudi Pro League,FW,29.25,38.5,0.25,1.3,0.75,0.13,0.315,1.05,0.05,30.5,2632.5,0.3,0.3,0.0,5.65,42.7,2.3499999999999996,30.0,0.5,0.1,0.0,0.9,0.1,5.1,2.3
28,Haris Tabakovic,Bosnia and Herzegovina,2 Teams,2 Comps,FW,20.25,29.5,0.15000000000000002,0.7,0.44999999999999996,0.14,0.325,0.5,0.1,28.5,1821.5,0.05,0.1,0.0,3.1,41.9,1.3,19.0,9.5,0.1,4.0,0.3,0.1,3.0,1.0
29,Jonathan David,Canada,Lille,fr Ligue 1,FW,28.799999999999997,23.5,0.15000000000000002,0.75,0.5,0.18,0.32499999999999996,0.6499999999999999,0.25,33.0,2591.5,0.15000000000000002,0.15000000000000002,0.0,2.6500000000000004,53.7,1.4,29.0,4.0,0.44999999999999996,0.0,0.6,0.2,2.6,1.2
30,Pierre-Emerick Aubameyang,Gabon,Marseille,fr Ligue 1,FW,30.25,34.5,0.2,0.75,0.45,0.12,0.26,0.55,0.25,33.0,2725.0,0.1,0.1,0.0,3.85,45.95,1.8,31.0,2.0,0.3,0.0,0.5,0.2,3.7,1.8
31,Cole Palmer,England,2 Teams,eng Premier League,MFFW,32.3,21.5,0.30000000000000004,0.8500000000000001,0.35,0.105,0.25,0.6000000000000001,0.5,35.5,2904.5,0.2,0.2,0.0,3.6500000000000004,41.55,1.5,32.5,3.0,0.45,1.0,0.4,0.3,3.6,1.4
32,Artem Dovbyk,Ukraine,Girona,es La Liga,FW,27.799999999999997,26.5,0.2,0.8,0.5,0.18,0.37,0.6000000000000001,0.05,34.0,2502.5,0.15000000000000002,0.2,0.0,2.65,48.5,1.3,29.5,4.5,0.05,1.5,0.4,0.1,2.3,1.0
33,Erling Haaland,Norway,Manchester City,eng Premier League,FWMF,29.4,23.5,0.15000000000000002,0.9500000000000001,0.6499999999999999,0.17,0.33,0.85,0.15000000000000002,31.0,2644.0,0.15000000000000002,0.2,0.0,3.95,51.9,2.05,30.0,1.0,0.15000000000000002,1.0,0.7,0.2,3.6,2.0
34,Mohamed Salah,Egypt,Liverpool,eng Premier League,FW,32.85,31.5,0.45,1.15,0.5,0.13,0.28,0.7,0.15000000000000002,35.0,2952.5,0.2,0.2,0.05,3.75,48.0,1.8,33.0,2.0,0.35,0.0,0.8,0.2,3.5,1.6
35,Guillermo Martínez Ayala,Mexico,2 Teams,mx Liga MX,FW,23.200000000000003,28.5,0.05,0.55,0.4,0.125,0.305,0.5,0.1,31.0,2088.5,0.15000000000000002,0.15000000000000002,0.0,3.15,39.75,1.25,23.5,7.5,0.15000000000000002,0.0,0.4,0.2,3.3,1.2
36,Rey Manaj,Albania,Sivasspor,tr Süper Lig,FW,26.1,26.5,0.15000000000000002,0.75,0.45,0.11,0.315,0.55,0.1,30.0,2350.5,0.1,0.1,0.0,4.0,35.599999999999994,1.45,27.0,3.0,0.25,0.0,0.5,0.1,3.9,1.4
37,Firas Al-Buraikan,Saudi Arabia,2 Teams,sa Saudi Pro League,FW,25.35,23.5,0.3,0.65,0.35,0.22499999999999998,0.435,0.35,0.4,32.5,2281.0,0.0,0.0,0.0,1.5,48.95,0.7,25.0,7.5,0.9,0.0,0.1,0.5,1.3,0.5
38,Paddy Madden,Republic of Ireland,Stockport,eng League Two,FWMF,19.3,33.5,0.15000000000000002,0.7,0.45,0.16999999999999998,0.44499999999999995,0.55,0.15000000000000002,34.5,1734.0,0.1,0.15000000000000002,0.0,2.5,40.9,1.05,17.5,17.0,0.3,2.5,0.5,0.1,2.0,0.6
39,Alexander Sørloth,Norway,Villarreal,es La Liga,FW,22.549999999999997,27.5,0.15000000000000002,1.15,0.9500000000000001,0.265,0.545,0.9500000000000001,0.05,34.5,2027.5,0.05,0.05,0.0,3.65,49.7,1.85,22.5,12.0,0.2,1.5,1.1,0.1,4.5,2.4
40,Ante Budimir,Croatia,Osasuna,es La Liga,FW,29.95,32.5,0.1,0.75,0.45,0.155,0.375,0.6,0.1,35.5,2693.5,0.15000000000000002,0.15000000000000002,0.0,2.9,41.75,1.2000000000000002,31.5,4.0,0.4,0.5,0.6,0.0,3.0,1.1
41,Maximilian Beier,Germany,Hoffenheim,de Bundesliga,FWMF,22.299999999999997,20.5,0.15,0.6499999999999999,0.55,0.195,0.515,0.55,0.4,31.0,2005.5,0.0,0.0,0.0,2.7,39.3,1.1,23.0,8.0,0.6000000000000001,0.5,0.5,0.4,2.4,0.7
42,Sem Steijn,Netherlands,Twente,nl Eredivisie,MF,28.75,21.5,0.15000000000000002,0.85,0.6,0.185,0.47,0.7,0.35,33.5,2588.0,0.1,0.1,0.0,3.15,40.5,1.2999999999999998,32.0,1.5,0.44999999999999996,0.0,0.8,0.3,3.0,1.4
43,Brian Brobbey,Netherlands,Ajax,nl Eredivisie,FW,22.0,21.5,0.25,0.7,0.44999999999999996,0.155,0.38,0.44999999999999996,0.1,30.0,1980.0,0.0,0.0,0.0,2.8,39.35,1.15,25.5,4.5,0.2,1.0,0.2,0.2,2.4,0.7
44,Massimo Coda,Italy,2 Teams,2 Comps,FW,23.95,34.5,0.1,0.6,0.4,0.11,0.31,0.5,0.1,34.0,2157.5,0.1,0.15000000000000002,0.0,3.55,35.4,1.25,25.5,8.5,0.2,2.5,0.4,0.0,3.0,1.1
45,Santiago Giménez,Mexico,Feyenoord,nl Eredivisie,FW,21.1,22.5,0.2,1.0,0.7,0.195,0.4,0.8500000000000001,0.05,27.5,1902.0,0.1,0.2,0.1,3.65,49.05,1.8,23.0,4.5,0.25,0.5,0.8,0.1,3.2,1.6
46,Christos Tzolis,Greece,Düsseldorf,de 2. Bundesliga,MFFW,29.200000000000003,21.5,0.25,0.9500000000000001,0.5,0.14,0.36,0.65,0.4,34.0,2627.0,0.15000000000000002,0.15000000000000002,0.0,3.7,40.35,1.5,31.5,2.5,0.5,1.0,0.5,0.6,3.9,1.6
47,Aleksandar Mitrović,Serbia,2 Teams,2 Comps,FW,23.799999999999997,28.5,0.15000000000000002,1.15,0.6499999999999999,0.15500000000000003,0.35,1.0,0.1,26.0,2144.0,0.25,0.3,0.05,4.5,44.05,1.9500000000000002,24.0,2.0,0.4,0.5,0.9,0.0,4.4,2.1
48,Konstantin Tyukavin,Russia,Dynamo Moscow,ru Russian Premier League,FW,21.25,21.5,0.2,0.7,0.5,0.15,0.35,0.5,0.2,24.5,1912.5,0.05,0.05,0.05,3.1,43.25,1.35,23.5,1.0,0.30000000000000004,0.0,0.4,0.1,3.2,1.1
49,Jude Bellingham,England,Real Madrid,es La Liga,MFFW,26.65,20.5,0.25,0.8,0.5,0.21,0.43,0.5,0.9,29.5,2401.5,0.0,0.05,0.0,2.3,46.35,1.1,28.0,1.5,1.35,2.0,0.3,1.0,2.2,0.8
50,Mohamed Amoura,Algeria,2 Teams,2 Comps,FW,26.549999999999997,23.5,0.25,0.8,0.5,0.13,0.32499999999999996,0.55,0.25,33.0,2389.5,0.05,0.05,0.0,3.6999999999999997,39.75,1.45,27.0,6.0,0.65,0.5,0.4,0.3,2.8,1.0
51,Dušan Vlahović,Serbia,Juventus,it Serie A,FW,22.700000000000003,23.5,0.2,0.75,0.4,0.10500000000000001,0.28,0.55,0.1,31.0,2045.5,0.15000000000000002,0.2,0.05,4.1,37.25,1.5,24.0,7.0,0.15000000000000002,1.5,0.5,0.1,3.9,1.5
52,Jhonder Cádiz,Venezuela,Famalicão,pt Primeira Liga,FW,24.450000000000003,28.5,0.1,0.6499999999999999,0.5,0.125,0.305,0.55,0.0,31.0,2197.0,0.05,0.15000000000000002,0.0,3.8,40.900000000000006,1.55,24.5,6.5,0.35,0.5,0.5,0.0,4.0,1.8
53,Jon Bautista,Spain,Eibar,es Segunda División,FW,27.2,28.5,0.1,0.6,0.55,0.16,0.38,0.55,0.2,35.5,2447.0,0.0,0.0,0.0,3.3,41.3,1.35,29.0,6.5,0.55,2.5,0.4,0.2,3.3,1.2
54,Mateo Cassierra,Colombia,Zenit,ru Russian Premier League,FW,22.9,26.5,0.2,0.8,0.55,0.23500000000000001,0.525,0.6000000000000001,0.1,29.0,2062.5,0.0,0.0,0.0,2.5,42.849999999999994,1.05,23.5,5.5,0.4,0.0,0.4,0.1,2.5,0.9
55,Alexandre Lacazette,France,Lyon,fr Ligue 1,FW,24.15,32.5,0.1,0.75,0.55,0.22000000000000003,0.37,0.7,0.35,29.5,2172.0,0.15000000000000002,0.2,0.0,2.5,60.400000000000006,1.5,25.5,4.0,0.4,0.0,0.7,0.4,2.6,1.6
56,Gustaf Nilsson,Sweden,Union SG,be Belgian Pro League,FW,22.95,26.5,0.2,0.75,0.35,0.11,0.265,0.5,0.2,32.0,2067.0,0.15000000000000002,0.15000000000000002,0.0,3.35,41.849999999999994,1.4,23.5,8.5,0.5,2.0,0.4,0.1,3.7,1.5
57,Che Adams,Scotland,Southampton,eng Championship,FWMF,27.45,27.5,0.15000000000000002,0.6000000000000001,0.44999999999999996,0.17,0.435,0.44999999999999996,0.05,38.0,2470.5,0.0,0.0,0.0,2.6500000000000004,39.900000000000006,1.05,27.5,10.5,0.35,1.5,0.3,0.0,2.2,0.9
58,Jean-Philippe Mateta,France,Crystal Palace,eng Premier League,FW,27.4,26.5,0.15000000000000002,0.65,0.5,0.235,0.42,0.55,0.15000000000000002,36.0,2465.0,0.1,0.1,0.0,2.05,55.4,1.1,29.0,7.0,0.5,1.0,0.5,0.1,2.3,1.1
59,Cyriel Dessers,Nigeria,Rangers,sct Scottish Premiership,FW,24.4,28.5,0.15000000000000002,0.8500000000000001,0.6499999999999999,0.18,0.365,0.7,0.1,35.0,2194.5,0.0,0.0,0.0,3.8499999999999996,48.900000000000006,1.85,25.5,9.5,0.25,3.0,0.8,0.1,3.6,1.8
60,Jordan Rhodes,Scotland,2 Teams,2 Comps,FW,18.45,33.5,0.1,0.44999999999999996,0.3,0.095,0.23500000000000001,0.35,0.2,32.0,1656.5,0.05,0.1,0.0,3.0,39.0,1.15,16.5,15.5,0.3,4.5,0.1,0.2,3.1,1.1
61,Ali Al Hamadi,Iraq,2 Teams,2 Comps,FW,17.9,21.5,0.1,0.55,0.4,0.12,0.33,0.44999999999999996,0.1,31.5,1610.0,0.0,0.1,0.05,3.0999999999999996,36.150000000000006,1.25,17.0,14.5,0.55,2.0,0.2,0.1,2.1,0.6
62,Alexander Isak,Sweden,Newcastle United,eng Premier League,FW,27.85,23.5,0.15000000000000002,0.9,0.6,0.2,0.39,0.8,0.15000000000000002,32.0,2505.5,0.15000000000000002,0.15000000000000002,0.0,3.1500000000000004,50.8,1.6,30.5,1.5,0.1,0.5,0.8,0.1,3.2,1.5
63,Gorka Guruzeta,Spain,Athletic Club,es La Liga,FW,22.5,26.5,0.15000000000000002,0.6000000000000001,0.44999999999999996,0.16999999999999998,0.41000000000000003,0.44999999999999996,0.5,34.0,2028.5,0.0,0.0,0.0,2.75,39.95,1.1,25.5,8.5,0.65,1.0,0.3,0.4,2.9,0.9
64,Serhou Guirassy,Guinea,Stuttgart,de Bundesliga,FW,26.7,27.5,0.1,1.1,0.8,0.23,0.51,0.9,0.2,29.0,2403.0,0.15000000000000002,0.15000000000000002,0.0,3.4000000000000004,45.55,1.55,27.0,2.0,0.15000000000000002,0.0,0.7,0.2,3.1,1.3
65,Andrej Kramarić,Croatia,Hoffenheim,de Bundesliga,MFFW,27.549999999999997,32.5,0.25,0.75,0.35,0.13,0.3,0.5,0.35,31.0,2483.0,0.15000000000000002,0.15000000000000002,0.0,2.5,43.5,1.1,28.5,2.5,0.2,0.5,0.4,0.3,2.2,0.8
66,Adam Taggart,Australia,Perth Glory,au A-League Men,FW,24.35,30.5,0.15000000000000002,0.75,0.6000000000000001,0.13,0.345,0.6000000000000001,0.15000000000000002,25.0,2191.5,0.0,0.0,0.0,4.35,37.6,1.7000000000000002,25.0,0.0,0.1,0.0,0.4,0.2,3.6,1.3
67,Žan Celar,Slovenia,Lugano,ch Swiss Super League,FW,17.4,24.5,0.05,0.44999999999999996,0.35,0.11,0.315,0.4,0.05,27.5,1563.5,0.05,0.1,0.05,2.95,34.8,1.05,16.5,11.0,0.15000000000000002,0.0,0.2,0.0,2.6,0.8
68,Kylian Mbappé,France,Paris Saint-Germain,fr Ligue 1,FW,28.15,24.5,0.2,1.25,0.8,0.16499999999999998,0.32,1.05,0.05,31.5,2532.5,0.25,0.3,0.1,5.0,51.0,2.55,29.0,2.5,0.1,1.0,1.0,0.0,5.0,2.6
69,Borja Mayoral,Spain,Getafe,es La Liga,FW,18.15,26.5,0.05,0.6,0.4,0.21500000000000002,0.425,0.5,0.15000000000000002,25.5,1633.5,0.15000000000000002,0.15000000000000002,0.0,1.8,51.2,0.9,16.0,9.5,0.25,0.5,0.4,0.2,1.6,0.7
70,Albion Rrahmani,Kosovo,Rapid București,ro Liga I,FW,18.9,22.5,0.2,0.75,0.45,0.13,0.31,0.55,0.25,25.5,1704.0,0.15000000000000002,0.2,0.1,3.3499999999999996,43.8,1.45,19.0,6.5,0.4,3.5,0.4,0.3,3.4,1.5
71,Jake Young,England,2 Teams,eng League Two,FW,16.799999999999997,22.5,0.1,0.65,0.55,0.19,0.395,0.55,0.0,29.0,1514.0,0.0,0.0,0.0,2.85,48.3,1.35,17.0,12.0,0.35,3.5,0.4,0.0,2.5,1.3
72,Emmanuel Latte Lath,Ivory Coast,Middlesbrough,eng Championship,FW,21.4,24.5,0.1,0.7,0.6,0.19,0.37,0.6499999999999999,0.3,29.5,1928.0,0.05,0.05,0.0,2.95,51.5,1.55,21.5,8.0,0.7,1.5,0.6,0.3,2.8,1.3
73,Deniz Undav,Germany,Stuttgart,de Bundesliga,FWMF,21.2,27.5,0.30000000000000004,0.8999999999999999,0.65,0.14500000000000002,0.31,0.65,0.2,28.5,1907.5,0.0,0.0,0.0,4.3,45.65,1.95,21.5,7.0,0.55,0.0,0.5,0.1,3.9,1.6
74,Zakaria Eddahchouri,Netherlands,Telstar,nl Eerste Divisie,FW,28.7,23.5,0.05,0.7,0.6,0.14,0.33999999999999997,0.6,0.15000000000000002,33.0,2583.0,0.05,0.05,0.0,4.0,41.4,1.65,30.0,3.0,0.44999999999999996,0.5,0.6,0.1,3.8,1.5
75,Evanilson,Brazil,Porto,pt Primeira Liga,FW,24.35,23.5,0.05,0.55,0.45,0.14500000000000002,0.375,0.5,0.15000000000000002,29.5,2189.0,0.05,0.05,0.0,2.95,39.5,1.15,26.5,3.0,0.4,0.5,0.4,0.1,2.8,1.2
76,Simon Banza,DR Congo,Braga,pt Primeira Liga,FW,25.35,26.5,0.15000000000000002,0.9500000000000001,0.65,0.2,0.41000000000000003,0.8,0.4,30.0,2284.0,0.15000000000000002,0.15000000000000002,0.0,3.25,48.15,1.6,26.0,4.0,0.25,0.0,0.7,0.4,2.6,1.3
77,Borisav Burmaz,Serbia,2 Teams,2 Comps,MFFW,21.2,22.5,0.0,0.45,0.35,0.095,0.21,0.45,0.2,35.0,1908.0,0.05,0.05,0.0,2.5,38.75,0.95,19.5,15.5,0.4,2.5,0.1,0.3,3.1,1.0
78,Georges Mikautadze,Georgia,2 Teams,2 Comps,FW,19.05,22.5,0.30000000000000004,0.9500000000000001,0.5,0.15000000000000002,0.325,0.6499999999999999,0.25,30.0,1716.0,0.15000000000000002,0.15000000000000002,0.05,3.2,46.2,1.4500000000000002,17.5,12.5,0.25,4.0,0.7,0.2,3.5,1.6
79,Victor Osimhen,Nigeria,Napoli,it Serie A,FW,24.2,24.5,0.15000000000000002,1.0,0.65,0.14,0.31999999999999995,0.85,0.2,27.5,2177.0,0.15000000000000002,0.2,0.05,4.65,43.6,2.05,25.0,2.5,0.30000000000000004,0.5,1.0,0.3,5.2,2.2
80,Abderrazak Hamdallah,Morocco,Al-Ittihad,sa Saudi Pro League,FW,23.549999999999997,32.5,0.1,0.95,0.55,0.17,0.39,0.8500000000000001,0.15000000000000002,25.0,2117.5,0.25,0.35,0.05,3.4000000000000004,43.95,1.5,24.0,1.0,0.35,0.0,0.8,0.2,3.6,1.5
81,Paulo Dybala,Argentina,Roma,it Serie A,FWMF,18.75,29.5,0.30000000000000004,0.8,0.25,0.08,0.21000000000000002,0.5,0.1,26.0,1688.0,0.25,0.25,0.0,2.95,38.5,1.15,20.5,5.5,0.5,4.0,0.4,0.1,3.2,1.2
82,Adriano Bertaccini,Belgium,2 Teams,2 Comps,MFFW,26.1,22.5,0.05,0.75,0.6499999999999999,0.18,0.41000000000000003,0.7,0.1,31.5,2346.0,0.05,0.05,0.0,2.35,43.55,1.0,27.0,4.5,0.25,3.0,0.7,0.2,3.7,1.6
83,Ernest Poku,Netherlands,2 Teams,2 Comps,MF,20.0,19.5,0.2,0.55,0.35,0.12,0.25,0.35,0.30000000000000004,31.5,1798.5,0.0,0.0,0.0,2.7,46.650000000000006,1.25,20.5,11.0,0.65,10.0,0.1,0.2,2.1,1.0
84,Max Dean,England,Milton Keynes Dons,eng League Two,FW,16.05,19.5,0.15000000000000002,0.75,0.6,0.15000000000000002,0.305,0.6499999999999999,0.2,23.0,1442.5,0.05,0.05,0.0,3.7,48.75,1.85,17.0,6.0,0.25,2.5,0.6,0.3,3.2,1.6
85,Álvaro Morata,Spain,Atlético Madrid,es La Liga,FW,20.35,30.5,0.1,0.75,0.6,0.20500000000000002,0.435,0.6499999999999999,0.15,30.0,1829.5,0.05,0.05,0.0,2.85,47.25,1.35,20.0,10.0,0.75,1.0,0.6,0.3,2.5,1.1
86,Ado Onaiwu,Japan,Auxerre,fr Ligue 2,MFFW,15.850000000000001,27.5,0.05,0.65,0.55,0.2,0.48,0.55,0.3,32.5,1429.0,0.0,0.0,0.0,2.5,47.95,1.15,14.5,18.0,0.55,1.0,0.4,0.3,2.2,1.3
87,Joel Monteiro,Switzerland,Young Boys,ch Swiss Super League,MFFW,21.0,23.5,0.1,0.55,0.44999999999999996,0.245,0.51,0.44999999999999996,0.55,29.5,1890.0,0.0,0.0,0.0,1.9,47.5,0.95,23.5,6.0,1.15,1.0,0.3,0.7,2.0,1.0
88,Adam Idah,Republic of Ireland,2 Teams,2 Comps,FW,20.15,22.5,0.05,0.75,0.55,0.18,0.325,0.7,0.15000000000000002,39.5,1814.0,0.1,0.15000000000000002,0.0,3.3,54.9,1.75,18.0,21.5,0.30000000000000004,0.5,0.7,0.1,4.0,1.9
89,Ricky van Wolfswinkel,Netherlands,Twente,nl Eredivisie,FWMF,19.4,34.5,0.05,0.6000000000000001,0.5,0.19,0.395,0.6000000000000001,0.35,29.0,1745.5,0.1,0.1,0.0,2.55,50.25,1.25,16.5,12.5,0.9,1.0,0.4,0.3,2.2,1.2
90,Diber Cambindo,Colombia,2 Teams,mx Liga MX,FW,22.45,27.5,0.1,0.75,0.6499999999999999,0.175,0.48,0.6499999999999999,0.1,30.0,2022.0,0.0,0.0,0.0,3.55,36.7,1.3,24.0,6.0,0.25,0.5,0.7,0.2,3.6,1.5
91,Vinicius Júnior,Brazil,Real Madrid,es La Liga,FW,22.85,23.5,0.25,0.9,0.55,0.145,0.33999999999999997,0.55,0.05,28.0,2058.5,0.05,0.05,0.0,3.5,42.3,1.5,23.0,5.0,0.55,1.5,0.4,0.1,3.2,1.1
92,Josh Sargent,United States,Norwich City,eng Championship,FW,24.200000000000003,23.5,0.15000000000000002,0.8,0.65,0.22999999999999998,0.49,0.65,0.2,29.0,2175.0,0.0,0.05,0.0,2.8,46.55,1.3,26.0,3.0,0.30000000000000004,0.0,0.5,0.1,2.3,1.0
