index,feature,mean_abs_shap_mean,mean_abs_shap_std
278,ea_pred,0.8212682447989638,0.03311263060280206
697,pred_mean,0.06999849192290157,0.01732856339735908
696,pred_max,0.04355968606267368,0.0062222768957697835
695,potential,0.0348066002776993,0.0050428808164939805
719,wage_per_rating,0.02798471193039329,0.00530469130684008
286,overall_rating,0.02777868441169616,0.004824086336541014
57,age_ea,0.026681149495102887,0.0028205830966131977
699,pred_min,0.021857174481300583,0.006276135226483216
55,age_at_valuation,0.020239371067740198,0.0026553408162676706
698,pred_median,0.01940002017364486,0.003791905389634251
702,pred_weighted,0.018468688908263343,0.00554956038536323
53,abs_years_from_27,0.018196980534758503,0.0023944203897065643
718,wage,0.0180297782907923,0.004401219980340155
717,tm_pred,0.013060762308966493,0.002791108977632654
282,goal_contrib_per90,0.012874796666966674,0.001588824715785282
280,fb_pred,0.0070888589722881866,0.0018721378152760158
0,90s,0.006770640196190487,0.0010841819331628914
277,ea_fb_absdiff,0.00670467637115949,0.0019780496689229487
281,fb_tm_absdiff,0.006105824137623546,0.0013031658220933422
38,Int_per_90,0.0059341941096983705,0.001038027069433425
12,Comp_eng_Championship,0.005889951645928893,0.0006320790169002849
279,ea_tm_absdiff,0.005400185187280154,0.0013138983936723959
102,contract_years_left,0.005176258298318469,0.0010296323919552826
39,Min,0.004668161057068939,0.0012343698306097955
59,bmi_like,0.004548661159564459,0.0007645771119723119
103,contract_years_left_ea,0.004296297750164588,0.0007881837477643214
700,pred_range,0.004090505452166592,0.0014893744684471208
51,Sh_per_90,0.003893829633998062,0.0011432193300570908
701,pred_std,0.0038343139219260735,0.0005736032714159221
84,club_league_name_Major_League_Soccer,0.0035534650549689495,0.0005930424915863443
96,club_league_name_Serie_B,0.0034728714993216944,0.0007270804069410004
134,country_name_nan,0.003344508758148519,0.0008672373747204209
104,contract_years_left_from_date,0.0032861785442676325,0.00118549095695072
284,height_cm,0.00291546934031447,0.0004910328649427027
58,age_ea_sq,0.0028937210080420316,0.0009015816961916255
720,weight_kg,0.0028696247857798104,0.0008176857849115553
56,age_at_valuation_sq,0.0023762812838735,0.0004312522067579577
52,SoT_per_90,0.002251904887845932,0.0007641138504968278
37,Gls_per_90,0.001971094770584793,0.0010260345940379897
233,country_of_citizenship_Norway,0.0019168050999992686,0.0005235013355855969
15,Comp_eng_Premier_League,0.0018968665370039572,0.0010237080517235696
704,sub_position_Central_Midfield,0.0018915034760595383,0.0008500964176075665
18,Comp_fr_Ligue_1,0.0018378138544116014,0.0006377408407066272
289,position_group_GK,0.0015503860072194043,0.0007861582696315315
203,country_of_citizenship_Italy,0.0013400820326781833,0.0007853817431120139
82,club_league_name_Ligue_1,0.0013264372946323484,0.0006423129259668564
367,positions_CDM_CM,0.001319683037234182,0.0006326768167054574
238,country_of_citizenship_Poland,0.001201800919624472,0.0005348572462600912
48,Pos_MFDF,0.001149808583473193,0.0006862915506357085
34,Comp_sa_Saudi_Pro_League,0.001061186795394527,0.00049059614913178
287,position_group_DEF,0.0009944978140762086,0.000752676392189417
71,club_league_name_Eredivisie,0.0009817847508633087,0.00031577370781758345
230,country_of_citizenship_Nigeria,0.000977547596880391,0.0005821415347741758
177,country_of_citizenship_England,0.0009700165732875325,0.000637113101453036
226,country_of_citizenship_Netherlands,0.0009589898211430563,0.0007797474419063869
19,Comp_fr_Ligue_2,0.0009199853705790504,0.0003722932592895992
88,club_league_name_Premiership,0.000900562534204591,0.0004964725400626546
188,country_of_citizenship_Greece,0.0008822531531826784,0.0003583905046065071
67,club_league_name_Championship,0.0008413960578936051,0.0004171627905862588
167,country_of_citizenship_Croatia,0.0008364697941322532,0.00046503487414560266
706,sub_position_Centre_Forward,0.0008100950199721329,0.0005338379294312404
69,club_league_name_Ekstraklasa,0.0007970611044329781,0.00046231852262276573
7,Comp_ch_Swiss_Super_League,0.0007741822361652478,0.00047817721418040815
87,club_league_name_Premier_League,0.0007596055336787588,0.0004943412027452036
182,country_of_citizenship_France,0.000698318493255109,0.0004930518233000578
1,Comp_2_Comps,0.0006832424136920284,0.0003031245653347099
651,positions_ST,0.0006628513742911927,0.0006456768601429453
75,club_league_name_La_Liga,0.0006309266364789786,0.0002820885192478606
95,club_league_name_Serie_A,0.0006017904575330578,0.0003061026546620783
9,Comp_de_2_Bundesliga,0.0005843589185599041,0.0004442511787573532
43,Pos_FW,0.000574494617645396,0.0004179312094734486
264,country_of_citizenship_Trkiye,0.000562937257108394,0.0003947940605044124
283,has_fbref,0.0005504486412378915,0.00033073981357168266
64,club_league_name_Allsvenskan,0.00054532443980301,0.00028934392731838767
80,club_league_name_Liga_I,0.0005353788894416092,0.0002937747537502145
640,positions_RW_RM,0.0005196756591934138,0.00033857440105936905
98,club_league_name_Super_League,0.0004936466346313887,0.0004357059753883568
574,positions_RB_RM,0.0004729476574091609,0.0003243867088974204
99,club_league_name_Superliga,0.0004480331569147546,0.0003258753389423136
247,country_of_citizenship_Serbia,0.00044397186305775887,0.00034971942633846395
705,sub_position_Centre_Back,0.00044196476482194497,0.00036307921005440327
47,Pos_MF,0.0004311102331876655,0.0005553351443150855
