RMSE,MAE,R2,Accuracy@10%,Accuracy@20%,Mean Percentage Error,MAPE,run,boosted_meta_weight,neural_meta_weight
1853664.64786817,886198.0863298496,0.9706215054952329,31.61290322580645,56.53225806451613,4.697063143538338,22.240945487029933,1,0.9940982713756393,0.005901728624360708
2014085.0401915526,909615.8336944468,0.9576969244976566,28.225806451612907,53.387096774193544,2.828975154046387,23.51118461133899,2,0.957835013116697,0.042164986883303016
2248805.7183316206,950578.4715615234,0.9265952010584817,28.467741935483872,52.903225806451616,4.733562417152334,24.06768967899866,3,0.9972519275611551,0.0027480724388448774
3024492.140238732,1246630.0858157666,0.9148009243562601,27.09677419354839,47.5,0.49770588946008104,26.641350232869677,4,0.8310516927549441,0.1689483072450559
2122245.8019622625,908035.2156008033,0.9507770363980975,29.274193548387096,54.35483870967742,3.341446990164518,23.202313161036827,5,0.9626250670772964,0.03737493292270351
2671890.9374747965,1048032.9940400731,0.9602500410984508,31.129032258064516,54.91935483870968,7.111813808407461,23.616924648595905,6,0.9871107574551129,0.01288924254488713
2280635.040925208,970666.0429448049,0.9608280780288649,29.919354838709676,54.91935483870968,6.735350364081567,23.281762235279775,7,0.9993223185274963,0.0006776814725037301
2807132.140480659,1133415.066751729,0.9430356274232227,29.758064516129036,54.91935483870968,1.834277282853622,22.9617109559613,8,0.9071039196795301,0.09289608032046988
2387394.63540275,911137.374833793,0.9575135716699675,30.161290322580648,57.25806451612904,5.400287087875199,22.78477735277572,9,0.9995415662826521,0.0004584337173477848
3283650.713941007,1115175.4095872047,0.9410552230237388,28.79032258064516,53.46774193548387,-0.45842256172999524,23.248295598804464,10,0.87946150617746,0.12053849382254007
2514281.286816094,972543.8585596365,0.9423949563935735,31.693548387096776,57.90322580645161,3.347884557732015,21.93474318722753,11,0.9791950722187793,0.020804927781220627
2280915.91588656,985099.683885359,0.9597909420403582,29.919354838709676,55.16129032258065,5.025395780432277,23.19196006841696,12,0.9985443409129618,0.0014556590870382087
2400599.4153210768,986017.5822598435,0.9665272521398901,31.209677419354836,55.564516129032256,3.289568970455731,21.953432551055382,13,0.981351609047217,0.018648390952783058
2067679.0486695834,867255.7571519217,0.9478614329360123,31.290322580645164,55.96774193548387,3.98398791184392,22.543000771933837,14,0.9970825688402392,0.002917431159760825
3360709.4507099176,1161945.425744969,0.9035587065114286,25.645161290322584,52.33870967741936,0.09374350473996627,23.39989043611314,15,0.8958296884211895,0.1041703115788105
