full_name,position_group,actual_value,predicted_value,boosted_meta_pred,neural_meta_pred,abs_pct_error
Teemu Pukki,FWD,1150000.0000000005,774232.4230796675,789456.8132117322,53032.345394281314,32.675441471333286
Petko Hristov,DEF,1200000.0000000005,1322532.6224381663,1342594.3156736512,166427.90838009742,10.211051869847148
Alexander Prass,DEF,5250000.0,4842885.055296937,4918983.485528857,566076.632105278,7.754570375296438
Anders Trondsen,DEF,487499.9999999996,593732.0031117598,607573.0751120015,24872.05878033754,21.791180125489287
Wojciech Szczęsny,GK,2449999.9999999995,5351389.327909059,5345004.0664127935,6307429.500465385,118.4240542003698
Nicolai Flø,GK,425000.0000000002,376425.34486558137,378138.67884058144,201441.42322116756,11.429330619863244
Alex Murphy,DEF,850000.0000000005,1615517.4941291779,1631934.8318001102,401567.0944566215,90.06088166225612
Will Smallbone,MID,3200000.0000000023,4000201.6219355715,4004721.2973220604,3424235.8209549766,25.006300685486522
Hannes Delcroix,DEF,2900000.0000000014,1930451.9923132928,1936552.2183507963,1250302.837624559,33.43268992023131
Elliot Lee,MID,787499.9999999994,893520.9050881648,919559.586492044,17122.165219968916,13.462972074687682
Max Reinthaler,DEF,349999.9999999997,293410.4491416451,294939.8385441379,143424.36007806048,16.16844310238704
Noah Nartey,MID,1350000.0,1956222.6259967114,1856410.8512741553,2646866158.6888638,44.905379703460106
Viljar Myhra,GK,712500.0000000002,598414.6898233253,600167.2018790791,400085.36644881277,16.011973358129815
Semih Kılıçsoy,MID,9249999.999999987,3739798.877368738,3801284.025856611,396113.68270358164,59.569741866283856
Daniel Phillips,MID,912500.0000000001,1168523.4731494659,1168699.924109022,1144483.0818620694,28.05736692048939
Mitchell van Bergen,MID,1299999.9999999993,1599439.6439805268,1618939.361568814,301591.4146574367,23.0338187677329
Daam Foulon,DEF,2649999.999999999,2421990.0650700894,2377285.4412593064,31485296.687535163,8.604148487921123
Quentin Boisgard,MID,649999.9999999995,641320.5078381513,640870.4761230942,706394.4462376314,1.3353064864381905
Ryotaro Ito,MID,3499999.9999999995,4116701.762881977,4131727.550058362,2492927.0530354707,17.620050368056503
Moïse Bombito,DEF,11749999.999999994,13261123.112558821,13305380.16358944,8382364.904554421,12.860622234543213
Kevin Rodríguez,FWD,1749999.9999999998,1761856.6167020397,1769962.4347608327,936518.2344256539,0.6775209544022834
Callum Hendry,MID,324999.9999999999,370898.6968933063,374676.18291416054,91912.39100780216,14.122675967171203
Giovanni Bonfanti,DEF,1550000.0000000012,2081579.372656421,2102943.721834058,510324.92028355924,34.29544339718835
Finn Dahmen,GK,7750000.000000002,4884466.94285806,4890485.2644206695,4122788.9626067276,36.97462009215408
Jayden Addai,MID,6549999.999999996,6232476.638068834,6293537.972302675,1628229.0351058617,4.847684914979575
Elias Baum,DEF,2875000.000000001,3640769.6599226524,3648927.2587612574,2675298.9698174796,26.635466432092215
Nikola Stojanović,MID,195000.00000000006,176029.10689528848,173922.46850190478,923547.0761850997,9.728663130621317
Barry Bannan,MID,749999.9999999998,1019345.3262957113,1016212.9339073742,1557187.012122382,35.91271017276155
Lynden Gooch,DEF,1050000.0000000007,893407.6624660586,911230.3762555255,58883.42712176579,14.913555955613521
Oscar Bobb,MID,20999999.99999998,31485710.98554353,31647211.04018222,15567078.512560599,49.93195707401695
Mauro Icardi,FWD,12499999.999999985,11138941.691549445,11175259.02459512,7115683.187092076,10.888466467604337
Dylan Nandín,FWD,1625000.0000000012,1661902.6846437047,1659331.113882575,2056822.5718464872,2.2709344396125224
Radek Vítek,GK,1949999.999999999,3263810.835127692,3239759.044228305,9035984.903508743,67.37491462193302
Yannick Cappelle,DEF,1099999.9999999998,934319.3944936964,933892.4534943434,995001.3257825575,15.061873227845766
Armindo Sieb,MID,3600000.0000000014,4102024.296202708,4068762.592110005,12583510.800156992,13.945119338964068
Sven Botman,DEF,35499999.999999955,37920566.57113084,37459473.65458532,204345308.8480584,6.818497383467295
Chris Richards,DEF,22249999.999999985,19927378.238029357,19988726.975892857,13051406.183730565,10.438749492002831
Aron Gunnarsson,MID,199999.99999999997,136758.97147730028,136095.95089926757,267015.22291747783,31.620514261349854
Peter Ankersen,DEF,375000.00000000006,460367.4075427025,464253.5679313813,144708.65234518028,22.764642011387316
Valeri Qazaishvili,MID,3099999.9999999986,3044727.6626896393,3089224.3869278533,413099.43485034286,1.7829786229148183
Žan Majer,MID,987499.9999999999,499324.8252424277,504043.73266874795,136763.26191507105,49.43546073494402
Ethan Brierley,MID,700000.0000000006,798738.1727623108,798636.4493397056,812867.3969267096,14.105453251758595
Konrad Laimer,DEF,28999999.999999948,29642431.71340645,28586216.392182,4378109697.386265,2.2152817703672563
Cole Campbell,MID,1949999.999999999,2992005.0883095544,2988249.3005077145,3556841.037079896,53.43615837484902
Giorgi Kvernadze,MID,1200000.0000000005,1137622.602186803,1144217.2389487969,513327.89166197536,5.198116484433119
Florian Lejeune,DEF,3299999.9999999986,3852239.6227952424,3872450.086773354,1874308.2135211637,16.734534024098302
Hans Christian Bernat,GK,749999.9999999998,871135.0966359974,873189.9380670474,629817.0013015805,16.151346218133025
Jakub Stolarczyk,GK,1499999.9999999986,2477603.7296722005,2482971.126759204,1839252.0374488803,65.17358197814686
Jordi Osei-Tutu,DEF,712500.0000000002,765358.3835478381,764039.0719670252,970558.33812513,7.418720497942151
Mario Mitaj,DEF,3049999.999999998,1786200.3521591206,1839276.0445889265,31705.47458449757,41.43605402756978
Tyler Adams,MID,22249999.999999985,19685610.49588174,19683894.772616275,19923256.763697922,11.525346085924705
Kenny McLean,DEF,1200000.0000000005,1848627.5910558745,1933627.6656486902,3791.7602334001117,54.05229925465614
Alessandro Schöpf,MID,1400000.0000000007,871131.393058936,873721.4673583332,578859.165390458,37.77632906721889
Luca Wollschläger,FWD,462500.00000000006,437382.30468722543,435923.47972323245,692820.7772765973,5.430853040599918
Adrien Tameze,DEF,4000000.0000000005,2861118.368586502,2845844.2160730166,5978473.354194505,28.472040785337455
Joshua Eze,MID,537500.0000000003,654975.0156693528,656692.4981163632,456713.1220320461,21.85581686871673
Christian Cappis,DEF,899999.9999999995,983184.6062488842,980146.4251029643,1505518.0713820162,9.24273402765386
Pierre Lees-Melou,MID,9750000.000000004,8830640.665586611,8838604.991441868,7799927.901398753,9.42932650680402
Ali Coote,MID,412500.00000000006,463269.4478142844,465685.35951961175,226378.34058117092,12.307744924674994
Gyrano Kerk,MID,2400000.000000001,1790710.998142568,1885688.369437115,1454.3974358544826,25.387041744059697
Xavier Chavalerin,MID,950000.0000000008,385012.2169166013,383405.5308238123,684718.119547707,59.47239821930517
Joel Latibeaudiere,DEF,1400000.0000000007,1735201.5292035504,1742488.5801981597,974491.2982939753,23.94296637168211
Lars Dietz,DEF,525000.0000000003,548496.9896054749,550870.8358243839,302662.99574725935,4.475617067709429
Yannick Carrasco,MID,17749999.999999993,15974658.354879959,16017270.350445934,11070088.957202854,10.001924761239632
Paul Joly,DEF,2100000.000000001,2668285.9056153814,2677952.059583884,1621891.7885751978,27.061233600732393
Tom Krauß,MID,4500000.000000002,5723557.526499627,5723320.394936437,5756298.688418566,27.190167255547216
Noah Edjouma,MID,2499999.9999999995,1637547.8142218133,1634279.6235516036,2155978.743220127,34.49808743112746
Nachon Nsingi,FWD,850000.0000000005,1205996.2484987834,1216129.9190118122,381092.82842605835,41.881911588092095
Florian Thauvin,MID,8499999.999999998,10153369.77256014,10293683.697766857,1534544.5970137636,19.45140908894285
Nicolai Remberg,MID,3600000.0000000014,3750643.862315771,3755219.073398983,3171126.5521737663,4.184551730993603
Heriberto Jurado,MID,1550000.0000000012,1134599.0891489764,1128210.19476694,2468761.2782006767,26.800058764582225
Mehdi Boukamir,DEF,762499.9999999997,624449.9041626856,625692.6282046769,474923.63232786045,18.104930601614964
Alfie Jones,DEF,2449999.9999999995,2476863.13590402,2449547.3993469994,11401687.29135759,1.0964545266947199
Zakaria Labyad,MID,1099999.9999999998,1488286.3053372563,1479934.4002608808,3229743.3516761526,35.29875503065969
Jakub Hromada,MID,999999.9999999997,605779.8383064312,605499.8478364256,645590.0442454983,39.42201616935686
Glenn Middleton,MID,575000.0000000001,497184.4832068615,502861.17830693227,104159.99885860583,13.533133355328456
Ernesto Torregrossa,MID,987499.9999999999,887785.8139619407,888076.453420504,848666.5036468974,10.09763909246169
Max Moerstedt,FWD,4949999.999999997,2934976.4806502583,2944371.04777301,1890266.4638830011,40.707545845449296
Justin Devenny,MID,6099999.999999996,5323924.840608334,5455000.840676363,187058.35132307204,12.722543596584632
Dylan Bronn,DEF,1150000.0000000005,955121.5452462174,949989.9357279406,2005253.0257929964,16.945952587285475
Samy Benchamma,MID,587500.0000000002,520139.78672805906,524001.25916950597,187875.75934925184,11.465568216500621
Tobias Hedl,FWD,725000.0000000006,843277.6884842274,847057.4640137875,455583.9811698915,16.314163928858857
Adil Demirbağ,DEF,1849999.9999999995,1769321.4368976217,1773446.6382142107,1283996.1035563152,4.361003410939342
Rami Kaib,DEF,525000.0000000003,612675.605275513,609882.5974933305,1149281.3698480097,16.70011529057383
Manuel Wintzheimer,MID,537500.0000000003,389929.8074429134,386451.7682553625,1338750.9988227014,27.45491954550453
Raffaele Celia,DEF,612499.9999999997,552269.6131920886,552397.6339844632,534924.5528871075,9.833532540067123
Marcos Senesi,DEF,18500000.000000034,16927960.27990951,16898907.065166313,21444326.359021824,8.4975120004893
Ruben Aguilar,DEF,5500000.000000001,5942972.384401949,5922513.689773447,9554144.810413491,8.054043352762694
Emmanuel Iyoha,DEF,1150000.0000000005,1201747.1165641877,1229224.430455412,53468.239209396444,4.499749266451061
Aitor Fernández,GK,1200000.0000000005,1567609.8098899487,1578686.130590705,594635.6071046051,30.634150824162344
Josh Benson,MID,562500.0000000003,580345.0149736393,575512.2926553224,1835166.5832747768,3.1724471064246966
Donny van de Beek,MID,3750000.0000000023,5556063.101640823,5598630.064438091,1942798.3212890243,48.16168271042186
Mamadou Sangaré,MID,12050000.00000001,12829638.934740849,13078488.630928015,911109.5345913408,6.470032653450946
Romeo Vermant,FWD,5750000.000000005,6737950.685440439,6741426.932284741,6276073.563660042,17.181751051137972
Matías Moreno,DEF,3499999.9999999995,2574406.6556412424,2594988.287705947,860122.9403515838,26.445524124535925
Ben Bobzien,FWD,1150000.0000000005,1545727.1923801063,1563235.0365601566,327870.22176068113,34.41106020696571
Riccardo Capellini,DEF,749999.9999999998,783651.802590039,784167.5954615279,715783.5375705666,4.486907012005229
Alidu Seidu,DEF,5750000.000000005,7611699.141748663,7603965.635215077,8755097.938579736,32.37737637823751
Bert Esselink,DEF,487499.9999999996,425352.53750409296,427845.93230524845,190228.71204872837,12.748197435057781
Andreas Verstraeten,DEF,649999.9999999995,400672.02307327214,399257.36454946303,652033.4077876222,38.35815029641962
Moussa N'Diaye,DEF,4150000.000000003,4726087.603553017,4687101.064273296,14783668.31034325,13.881629001277435
Jonas Hofmann,MID,6499999.999999999,7189656.361220577,7239870.479243768,2757792.1462648227,10.610097864931966
Owen Wijndal,DEF,3149999.9999999995,2231425.585544967,2228864.9893301665,2613567.447568162,29.16109252238199
Guillaume Dietsch,GK,775000.0000000007,1081266.5438061263,1081655.0554388107,1029088.6194026378,39.5182637169194
Prince Ampem,MID,1400000.0000000007,1342345.2294812356,1329962.933869755,4808001.012033142,4.118197894197504
Hiroki Sakai,DEF,950000.0000000008,427098.13240584213,428495.95899546985,272369.2485723274,55.042301852016664
Erik Sviatchenko,DEF,1087500.0000000007,784390.4735370915,784296.8185211538,797391.8127895514,27.872140364405425
Jordan Turnbull,DEF,362499.9999999997,254331.59940087548,254829.63794192142,194280.47455722588,29.83955878596533
Jonas Meffert,MID,1550000.0000000012,1339834.6051475646,1345105.3172580244,780370.5435554512,13.559057732415255
Jasper Samooja,GK,362499.9999999997,440379.5317972267,443461.48908367375,168592.03888757565,21.484008771648842
Vicko Ševelj,MID,925000.0000000007,901102.4248251676,904481.0190096087,538282.5541249028,2.5835216405224917
Nahuel Tenaglia,DEF,6000000.0,7808153.850039947,7953908.686008906,611935.6507974091,30.13589750066578
Stuart Findlay,DEF,1024999.9999999995,1117110.6276107691,1122380.8429453322,584357.9147810449,8.986402693733622
Couhaib Driouech,MID,3850000.0000000005,4445423.39394697,4450351.520841467,3816503.914550708,15.465542699921281
Kevin Kelsy,FWD,2700000.0,2178701.0305714887,2190757.32453049,1019154.3499148989,19.30736923809301
Anton Gaaei,DEF,4300000.000000002,2838457.9877658566,2874620.797008774,496740.57420855947,33.989349121724295
Dylan Chambost,MID,1200000.0000000005,1607943.9125770505,1638877.3637739115,116661.23566248217,33.995326048087485
Edmond Tapsoba,DEF,31500000.00000002,26517963.08151322,26675523.26661095,11730883.815573674,15.815990217418404
Tommaso Del Lungo,DEF,875000.0,1192139.693338006,1192995.9888803842,1079928.7836434126,36.244536381486405
Johann Lepenant,MID,6000000.0,6179466.237345609,6134389.782478691,16931804.005358946,2.9911039557601478
Aaron Wan-Bissaka,DEF,18500000.000000034,20101869.15994035,19863865.498904467,103606480.38353106,8.65875221589359
Mert Kömür,MID,4999999.999999999,5771105.05883917,5754311.25067641,8619961.438172203,15.422101176783427
Alexandre Mendy,FWD,2400000.000000001,1346912.788638596,1343466.400682697,1916577.5206196685,43.87863380672519
Liam Boyce,MID,230000.0000000001,207877.17776110288,208237.5114894117,163777.30590085968,9.618618364737912
Dennis Hadžikadunić,DEF,2250000.000000001,1245045.2339590895,1244485.1135324237,1324616.7469994004,44.66465626848493
Vasilios Zagaritis,DEF,1749999.9999999998,1157238.750386395,1158678.088335914,975218.8998162803,33.872071406491706
Sem van Duijn,MID,562500.0000000003,542729.0703939834,545341.8983423514,280170.2443525465,3.514831929958568
Marc Guéhi,DEF,48499999.99999994,35756205.68751583,35643930.13231124,55130826.06464928,26.275864561822935
Simone Pafundi,MID,6650000.000000001,3002128.0123579605,2987742.523371895,5816014.489673781,54.855217859278795
Jo Coppens,GK,134999.99999999997,159345.2706489731,158647.15540015246,291655.73956209916,18.033533814054167
Nicholas Bonfanti,FWD,1450000.0000000002,1491182.5712823917,1491192.8295446164,1489770.9338643071,2.8401773298200985
